date,stock,gold
2009-01-05,1776.05,190.25
2009-01-06,1833.28,184.61
2009-01-07,1821.68,187.63
2009-01-08,1784.42,184.79
2009-01-09,1822.57,186.94
2009-01-12,1838.33,185.82
2009-01-13,1797.3,179.2
2009-01-14,1867.07,180.9
2009-01-15,1861.71,177.48
2009-01-16,1885.97,180.41
2009-01-19,1895.27,184.12
2009-01-20,1908.31,181.65
2009-01-21,1896.28,186.43
2009-01-22,1924.44,186.61
2009-01-23,1918.79,187.51
2009-02-02,1957.42,198.46
2009-02-03,2012.17,197.31
2009-02-04,2061.96,196.85
2009-02-05,2055.04,198.75
2009-02-06,2143.17,200.31
2009-02-09,2227.32,198.33
2009-02-10,2279.73,195.99
2009-02-11,2269.86,199.58
2009-02-12,2250.85,205.54
2009-02-13,2328.57,206.08
2009-02-16,2404.27,205.52
2009-02-17,2320.76,210.83
2009-02-18,2206.94,213.59
2009-02-19,2255.84,214.01
2009-02-20,2330.67,214.4
2009-02-23,2386.71,216.5
2009-02-24,2291.96,216.8
2009-02-25,2277.21,209.63
2009-02-26,2137.43,208.23
2009-02-27,2038.24,206.48
2009-03-02,2068.41,209.31
2009-03-03,2069.97,203.96
2009-03-04,2205.13,201.48
2009-03-05,2220.92,202.5
2009-03-06,2196.22,207.73
2009-03-09,2107.41,206.06
2009-03-10,2147.55,201.58
2009-03-11,2135.67,198.49
2009-03-12,2133.84,201.79
2009-03-13,2111.7,202.75
2009-03-16,2140.61,203.63
2009-03-17,2222.98,202.01
2009-03-18,2255.13,200.57
2009-03-19,2309.85,205.28
2009-03-20,2337.32,210.41
2009-03-23,2392.71,211.43
2009-03-24,2410.78,206.96
2009-03-25,2339.57,204.4
2009-03-26,2408.63,206.35
2009-03-27,2437.81,205.62
2009-03-30,2409.32,204.15
2009-03-31,2407.3,202.49
2009-04-01,2466.31,202.13
2009-04-02,2489.71,202.85
2009-04-03,2464.08,198.94
2009-04-07,2480.84,193.4
2009-04-08,2395.23,195.53
2009-04-09,2430.24,193.76
2009-04-10,2500.34,194.59
2009-04-13,2575.46,195.78
2009-04-14,2598.09,197.95
2009-04-15,2626.86,196.3
2009-04-16,2641.09,196.77
2009-04-17,2587.04,192.42
2009-04-20,2641.19,191.3
2009-04-21,2614.96,196.64
2009-04-22,2506.66,195.31
2009-04-23,2533.95,196.7
2009-04-24,2501.48,201.15
2009-04-27,2420.1,201.43
2009-04-28,2433.68,197.42
2009-04-29,2493.77,197.2
2009-04-30,2513.34,198.18
2009-05-04,2624.54,197.31
2009-05-05,2636.42,199.22
2009-05-06,2681.29,198.99
2009-05-07,2668.45,201.33
2009-05-08,2657.41,201.75
2009-05-11,2578.07,201.83
2009-05-12,2656.31,200.73
2009-05-13,2682.98,203.96
2009-05-14,2680.6,202.72
2009-05-15,2680.08,203.23
2009-05-18,2715.47,204.53
2009-05-19,2745.82,202.44
2009-05-20,2732.1,203.73
2009-05-21,2675.0,206.85
2009-05-22,2659.98,208.39
2009-05-25,2669.27,208.8
2009-05-26,2637.59,208.02
2009-05-27,2656.95,207.98
2009-06-01,2738.32,215.02
2009-06-02,2764.97,212.15
2009-06-03,2809.5,216.18
2009-06-04,2827.82,211.96
2009-06-05,2812.59,214.32
2009-06-08,2786.86,209.42
2009-06-09,2779.93,209.12
2009-06-10,2823.9,209.84
2009-06-11,2789.35,209.48
2009-06-12,2730.47,208.92
2009-06-15,2735.21,204.87
2009-06-16,2737.19,205.34
2009-06-17,2774.59,206.3
2009-06-18,2799.83,206.43
2009-06-19,2807.65,205.04
2009-06-22,2805.28,205.0
2009-06-23,2821.13,201.6
2009-06-24,2901.45,203.9
2009-06-25,2889.41,205.48
2009-06-26,2883.28,207.11
2009-06-29,2920.32,205.92
2009-06-30,2887.43,207.37
2009-07-01,2928.78,204.45
2009-07-02,2955.36,206.06
2009-07-03,2981.11,205.14
