date,stock,gold
2010-06-01,973.233,268.59
2010-06-02,997.119,268.71
2010-06-03,998.394,269.18
2010-06-04,1027.681,264.82
2010-06-07,1069.468,267.77
2010-06-08,1067.154,272.9
2010-06-09,1077.823,271.35
2010-06-10,1117.478,270.24
2010-06-11,1122.199,268.44
2010-06-17,1064.839,271.47
2010-06-18,1000.277,273.93
2010-06-21,1040.802,276.98
2010-06-22,1034.995,271.24
2010-06-23,1047.337,272.08
2010-06-24,1050.601,270.75
2010-06-25,1016.283,272.95
2010-06-28,987.827,274.91
2010-06-29,913.309,270.6
2010-06-30,919.314,272.04
2010-07-01,882.19,270.8
2010-07-02,873.12,263.12
2010-07-05,862.268,264.26
2010-07-06,893.718,263.01
2010-07-07,908.549,259.4
2010-07-08,905.509,263.16
2010-07-09,932.147,261.36
2010-07-12,930.173,263.3
2010-07-13,931.08,261.2
2010-07-14,922.362,264.6
2010-07-15,892.557,263.75
2010-07-16,892.298,263.02
2010-07-19,908.049,260.3
2010-07-20,937.017,258.85
2010-07-21,941.25,259.76
2010-07-22,950.209,258.73
2010-07-23,960.588,261.46
2010-07-26,966.154,261.12
2010-07-27,957.967,259.46
2010-07-28,972.534,255.18
2010-07-29,975.362,256.17
2010-07-30,968.431,255.94
2010-08-02,994.228,259.25
2010-08-03,975.645,258.95
2010-08-04,978.014,261.57
2010-08-05,987.351,261.4
2010-08-06,1011.39,262.9
2010-08-09,1032.339,264.63
2010-08-10,993.992,262.0
2010-08-11,1004.637,262.43
2010-08-12,991.777,262.9
2010-08-13,1007.206,266.73
2010-08-16,1030.217,267.48
2010-08-17,1033.581,267.8
2010-08-18,1026.722,267.55
2010-08-19,1025.526,268.98
2010-08-20,995.944,268.78
2010-08-23,995.613,268.6
2010-08-24,1004.985,266.86
2010-08-25,976.878,269.8
2010-08-26,980.63,271.11
2010-08-27,999.456,270.22
2010-08-30,1024.928,270.41
2010-08-31,1025.57,270.28
2010-09-01,995.586,274.1
2010-09-02,1014.922,273.1
2010-09-03,1036.703,273.72
2010-09-06,1010.764,273.25
2010-09-07,1022.622,273.15
2010-09-08,1026.327,275.33
2010-09-09,1021.832,273.83
2010-09-10,1034.939,272.01
2010-09-13,1042.482,272.08
2010-09-14,1031.219,272.6
2010-09-15,990.103,276.55
2010-09-16,972.602,275.95
2010-09-17,972.229,278.24
2010-09-20,949.195,279.2
2010-09-21,934.461,277.4
2010-09-27,950.671,281.15
2010-09-28,942.049,279.42
2010-09-29,926.758,283.19
2010-09-30,942.539,284.11
2010-10-08,959.863,285.69
2010-10-11,947.11,290.85
2010-10-12,951.79,289.98
2010-10-13,962.738,292.47
2010-10-14,958.495,297.47
2010-10-15,944.254,297.18
2010-10-18,932.359,292.41
2010-10-19,995.922,293.34
2010-10-20,1004.542,286.99
2010-10-21,991.842,286.95
2010-10-22,1013.448,284.41
2010-10-25,1039.054,291.5
2010-10-26,1036.007,289.28
2010-10-27,1030.593,287.83
2010-10-28,1038.622,287.55
2010-10-29,1064.522,290.01
2010-11-01,1107.523,295.27
2010-11-02,1075.151,294.28
2010-11-03,1040.621,292.39
2010-11-04,1057.714,293.67
2010-11-05,1072.219,301.24
2010-11-08,1107.061,301.62
