date,stock,gold
2009-01-05,2520.873,190.25
2009-01-06,2594.739,184.61
2009-01-07,2585.644,187.63
2009-01-08,2527.255,184.79
2009-01-09,2581.624,186.94
2009-01-12,2606.129,185.82
2009-01-13,2554.617,179.2
2009-01-14,2639.722,180.9
2009-01-15,2653.521,177.48
2009-01-16,2686.795,180.41
2009-01-19,2694.538,184.12
2009-01-20,2716.082,181.65
2009-01-21,2698.996,186.43
2009-01-22,2722.688,186.61
2009-01-23,2707.144,187.51
2009-02-02,2763.664,198.46
2009-02-03,2846.763,197.31
2009-02-04,2935.736,196.85
2009-02-05,2894.499,198.75
2009-02-06,3011.554,200.31
2009-02-09,3103.261,198.33
2009-02-10,3160.295,195.99
2009-02-11,3174.306,199.58
2009-02-12,3173.265,205.54
2009-02-13,3292.21,206.08
2009-02-16,3382.797,205.52
2009-02-17,3241.849,210.83
2009-02-18,3071.516,213.59
2009-02-19,3133.531,214.01
2009-02-20,3214.568,214.4
2009-02-23,3309.672,216.5
2009-02-24,3210.506,216.8
2009-02-25,3199.301,209.63
2009-02-26,2992.541,208.23
2009-02-27,2874.136,206.48
2009-03-02,2919.212,209.31
2009-03-03,2919.926,203.96
2009-03-04,3089.249,201.48
2009-03-05,3120.42,202.5
2009-03-06,3075.619,207.73
2009-03-09,2955.913,206.06
2009-03-10,3021.225,201.58
2009-03-11,2992.802,198.49
2009-03-12,2981.432,201.79
2009-03-13,2948.238,202.75
2009-03-16,2988.248,203.63
2009-03-17,3086.279,202.01
2009-03-18,3130.614,200.57
2009-03-19,3206.437,205.28
2009-03-20,3196.224,210.41
2009-03-23,3253.844,211.43
2009-03-24,3271.75,206.96
2009-03-25,3187.386,204.4
2009-03-26,3278.489,206.35
2009-03-27,3321.574,205.62
2009-03-30,3308.673,204.15
2009-03-31,3319.953,202.49
2009-04-01,3374.19,202.13
2009-04-02,3398.419,202.85
2009-04-03,3370.192,198.94
2009-04-07,3388.538,193.4
2009-04-08,3276.124,195.53
2009-04-09,3332.839,193.76
2009-04-10,3408.749,194.59
2009-04-13,3508.643,195.78
2009-04-14,3552.118,197.95
2009-04-15,3587.594,196.3
2009-04-16,3608.378,196.77
2009-04-17,3536.579,192.42
2009-04-20,3633.21,191.3
2009-04-21,3637.278,196.64
2009-04-22,3486.362,195.31
2009-04-23,3511.61,196.7
2009-04-24,3506.297,201.15
2009-04-27,3379.698,201.43
2009-04-28,3394.97,197.42
2009-04-29,3477.898,197.2
2009-04-30,3522.702,198.18
2009-05-04,3654.173,197.31
2009-05-05,3669.825,199.22
2009-05-06,3712.745,198.99
2009-05-07,3704.823,201.33
2009-05-08,3698.539,201.75
2009-05-11,3600.065,201.83
2009-05-12,3697.373,200.73
2009-05-13,3708.532,203.96
2009-05-14,3693.696,202.72
2009-05-15,3684.037,203.23
2009-05-18,3707.581,204.53
2009-05-19,3746.118,202.44
2009-05-20,3704.941,203.73
2009-05-21,3640.128,206.85
2009-05-22,3650.196,208.39
2009-05-25,3655.89,208.8
2009-05-26,3667.631,208.02
2009-05-27,3698.232,207.98
2009-06-01,3773.897,215.02
2009-06-02,3767.538,212.15
2009-06-03,3830.0,216.18
2009-06-04,3866.064,211.96
2009-06-05,3847.125,214.32
2009-06-08,3806.155,209.42
2009-06-09,3849.179,209.12
2009-06-10,3913.234,209.84
2009-06-11,3842.993,209.48
2009-06-12,3750.292,208.92
2009-06-15,3795.929,204.87
2009-06-16,3808.5,205.34
2009-06-17,3859.105,206.3
2009-06-18,3884.579,206.43
2009-06-19,3904.774,205.04
2009-06-22,3890.829,205.0
2009-06-23,3908.086,201.6
2009-06-24,3984.167,203.9
2009-06-25,3967.776,205.48
2009-06-26,3955.647,207.11
2009-06-29,3980.25,205.92
2009-06-30,3941.558,207.37
2009-07-01,4001.316,204.45
2009-07-02,4014.017,206.06
2009-07-03,4018.04,205.14
2009-07-06,4106.158,203.41
2009-07-07,4101.047,203.16
2009-07-08,4108.782,202.85
2009-07-09,4176.374,201.06
2009-07-10,4200.105,200.55
2009-07-13,4230.306,200.1
2009-07-14,4309.273,202.35
2009-07-15,4394.061,204.09
2009-07-16,4356.38,205.32
2009-07-17,4399.909,205.34
2009-07-20,4484.706,207.54
2009-07-21,4387.822,207.77
2009-07-22,4448.506,207.94
2009-07-23,4448.672,209.17
2009-07-24,4451.794,208.05
2009-07-27,4554.011,210.08
2009-07-28,4623.197,209.58
2009-07-29,4387.25,204.9
2009-07-30,4469.267,204.5
2009-07-31,4598.881,205.93
2009-08-03,4772.048,209.41
2009-08-04,4790.658,209.67
2009-08-05,4759.904,211.38
2009-08-06,4651.591,211.57
2009-08-07,4520.096,210.55
2009-08-10,4537.797,209.78
2009-08-11,4568.933,208.35
2009-08-12,4384.689,207.15
2009-08-13,4397.275,209.58
2009-08-14,4210.278,209.9
2009-08-17,3942.109,207.18
2009-08-18,4011.788,206.5
2009-08-19,3812.609,205.54
2009-08-20,3935.409,207.51
2009-08-21,4023.389,206.52
2009-08-24,4067.331,209.77
2009-08-25,3952.774,207.65
2009-08-26,4072.877,208.26
2009-08-27,4085.16,208.0
2009-08-28,3954.022,208.8
2009-08-31,3667.749,209.29
2009-09-01,3667.828,209.72
2009-09-02,3693.439,210.0
2009-09-03,3888.412,215.57
2009-09-04,3924.552,217.39
2009-09-07,3953.227,218.9
2009-09-08,4012.37,222.8
2009-09-09,4055.145,220.65
2009-09-10,4023.8,219.47
2009-09-11,4072.67,220.27
2009-09-14,4146.646,219.57
2009-09-15,4169.533,219.27
2009-09-16,4147.439,225.24
2009-09-17,4266.663,225.96
2009-09-18,4111.799,223.1
2009-09-21,4166.372,221.1
2009-09-22,4058.606,223.3
2009-09-23,3949.317,223.13
2009-09-24,3900.667,223.51
2009-09-25,3891.571,218.9
2009-09-28,3786.24,216.83
2009-09-29,3737.192,217.77
2009-09-30,3781.373,218.7
2009-10-09,3962.053,228.95
2009-10-12,3969.351,229.75
2009-10-13,4020.167,231.59
2009-10-14,4036.921,233.85
2009-10-15,4066.104,231.85
2009-10-16,4041.777,230.38
2009-10-19,4122.065,231.7
2009-10-20,4174.39,234.59
2009-10-21,4178.204,232.22
2009-10-22,4161.909,231.85
2009-10-23,4212.844,233.2
2009-10-26,4220.711,231.98
2009-10-27,4114.518,229.37
2009-10-28,4163.019,229.0
2009-10-29,4097.689,227.5
2009-10-30,4149.499,230.68
2009-11-02,4290.909,230.71
2009-11-03,4366.395,233.86
2009-11-04,4409.374,238.06
2009-11-05,4451.597,238.12
2009-11-06,4472.802,239.25
2009-11-09,4494.235,242.17
2009-11-10,4491.637,240.84
2009-11-11,4505.449,242.62
2009-11-12,4557.952,245.56
2009-11-13,4607.598,242.91
2009-11-16,4694.479,247.39
2009-11-17,4684.368,248.48
2009-11-18,4674.058,249.49
2009-11-19,4755.115,250.26
2009-11-20,4769.859,250.92
2009-11-23,4864.711,255.42
2009-11-24,4649.27,255.05
2009-11-25,4836.993,259.33
2009-11-26,4659.075,261.92
2009-11-27,4534.244,257.02
2009-11-30,4717.914,258.23
2009-12-01,4839.399,259.33
2009-12-02,4852.012,267.5
2009-12-03,4885.63,267.55
2009-12-04,4801.245,265.8
2009-12-07,4855.299,254.81
2009-12-08,4830.811,255.9
2009-12-09,4755.082,248.85
2009-12-10,4794.077,249.27
2009-12-11,4783.899,250.7
2009-12-14,4815.231,249.7
2009-12-15,4812.795,248.31
2009-12-16,4786.937,252.38
2009-12-17,4647.822,249.73
2009-12-18,4512.579,245.4
2009-12-21,4571.327,246.8
2009-12-22,4449.71,242.43
2009-12-23,4518.965,241.3
2009-12-24,4669.775,245.61
2009-12-25,4700.046,246.35
2009-12-28,4774.683,247.98
2009-12-29,4800.602,246.4
2009-12-30,4835.122,243.39
2010-01-04,4840.793,245.96
2010-01-05,4859.153,253.23
2010-01-06,4829.644,251.1
2010-01-07,4716.867,252.36
2010-01-08,4756.58,249.56
2010-01-11,4774.061,256.85
2010-01-12,4915.065,257.15
2010-01-13,4882.373,250.72
2010-01-14,5010.235,252.97
2010-01-15,5045.103,252.21
2010-01-18,5137.459,251.81
2010-01-19,5120.604,252.39
2010-01-20,4986.034,251.38
2010-01-21,4997.181,248.3
2010-01-22,4862.043,243.32
2010-01-25,4802.427,245.36
2010-01-26,4684.19,243.1
2010-01-27,4666.696,243.81
2010-01-28,4732.353,241.44
2010-01-29,4761.789,239.36
2010-02-01,4729.34,239.56
2010-02-02,4678.502,244.74
2010-02-03,4729.174,247.24
2010-02-04,4734.794,245.11
2010-02-05,4633.893,235.77
2010-02-08,4637.966,236.86
2010-02-09,4696.249,238.47
2010-02-10,4747.837,239.85
2010-02-11,4740.589,240.3
2010-02-12,4782.901,242.2
2010-02-22,4778.298,248.33
2010-02-23,4802.928,247.22
2010-02-24,4917.492,245.06
2010-02-25,4964.14,242.28
2010-02-26,4963.145,246.4
2010-03-01,5011.118,247.79
2010-03-02,5018.929,247.38
2010-03-03,5041.857,251.9
2010-03-04,4896.426,251.05
2010-03-05,4910.918,251.28
2010-03-08,4932.873,252.01
2010-03-09,4920.535,248.36
2010-03-10,4870.235,249.44
2010-03-11,4846.075,245.93
2010-03-12,4759.607,246.82
2010-03-15,4698.453,244.99
2010-03-16,4744.588,246.34
2010-03-17,4856.346,250.13
2010-03-18,4838.885,248.53
2010-03-19,4851.733,248.71
2010-03-22,4870.091,244.99
2010-03-23,4840.864,244.5
2010-03-24,4855.62,243.9
2010-03-25,4820.069,241.8
2010-03-26,4893.594,243.88
2010-03-29,4939.461,246.01
2010-03-30,4943.506,246.46
2010-03-31,4923.037,245.28
2010-04-01,4994.236,245.91
2010-04-02,5003.843,248.03
2010-04-06,5013.097,248.7
2010-04-07,4995.621,250.68
2010-04-08,4997.393,251.8
2010-04-09,5079.398,253.7
2010-04-12,5112.887,255.42
2010-04-13,5136.898,253.45
2010-04-14,5180.608,254.45
2010-04-15,5117.052,254.16
2010-04-16,5092.544,254.23
2010-04-19,4906.906,249.7
2010-04-20,4990.249,251.07
2010-04-21,5134.9,252.56
2010-04-22,5126.154,252.5
2010-04-23,5091.833,251.26
2010-04-26,5075.096,255.41
2010-04-27,4953.704,254.39
2010-04-28,4951.438,256.8
2010-04-29,4855.561,257.08
2010-04-30,4757.908,258.59
2010-05-04,4758.298,258.61
2010-05-05,4857.248,257.33
2010-05-06,4710.407,258.2
2010-05-07,4581.97,264.6
2010-05-10,4514.406,262.75
2010-05-11,4413.334,265.64
2010-05-12,4354.316,270.17
2010-05-13,4472.594,271.14
2010-05-14,4522.864,271.32
2010-05-17,4280.749,271.89
2010-05-18,4319.709,267.62
2010-05-19,4312.177,266.29
2010-05-20,4229.769,261.27
2010-05-21,4291.556,259.72
2010-05-24,4463.576,262.25
2010-05-25,4417.183,262.17
2010-05-26,4397.172,265.8
2010-05-27,4466.794,266.7
2010-05-28,4515.991,267.68
2010-05-31,4417.523,266.54
2010-06-01,4282.98,268.59
2010-06-02,4311.978,268.71
2010-06-03,4294.567,269.18
2010-06-04,4327.812,264.82
2010-06-07,4311.216,267.77
2010-06-08,4360.151,272.9
2010-06-09,4460.15,271.35
2010-06-10,4456.76,270.24
2010-06-11,4441.615,268.44
2010-06-17,4374.277,271.47
2010-06-18,4231.923,273.93
2010-06-21,4338.077,276.98
2010-06-22,4348.402,271.24
2010-06-23,4345.128,272.08
2010-06-24,4336.381,270.75
2010-06-25,4278.525,272.95
2010-06-28,4213.508,274.91
2010-06-29,4025.001,270.6
2010-06-30,3967.848,272.04
2010-07-01,3913.988,270.8
2010-07-02,3880.866,263.12
2010-07-05,3862.537,264.26
2010-07-06,3961.194,263.01
2010-07-07,3996.193,259.4
2010-07-08,3987.415,263.16
2010-07-09,4105.226,261.36
2010-07-12,4131.365,263.3
2010-07-13,4067.327,261.2
2010-07-14,4138.063,264.6
2010-07-15,4075.771,263.75
2010-07-16,4084.35,263.02
2010-07-19,4159.139,260.3
2010-07-20,4267.477,258.85
2010-07-21,4290.576,259.76
2010-07-22,4341.859,258.73
2010-07-23,4354.218,261.46
2010-07-26,4409.488,261.12
2010-07-27,4448.978,259.46
2010-07-28,4513.019,255.18
2010-07-29,4498.758,256.17
2010-07-30,4507.235,255.94
2010-08-02,4602.976,259.25
2010-08-03,4530.469,258.95
2010-08-04,4565.015,261.57
2010-08-05,4614.305,261.4
2010-08-06,4698.282,262.9
2010-08-09,4744.95,264.63
2010-08-10,4591.877,262.0
2010-08-11,4640.335,262.43
2010-08-12,4589.781,262.9
2010-08-13,4659.947,266.73
2010-08-16,4787.126,267.48
2010-08-17,4813.08,267.8
2010-08-18,4822.555,267.55
2010-08-19,4812.473,268.98
2010-08-20,4684.552,268.78
2010-08-23,4710.082,268.6
2010-08-24,4749.921,266.86
2010-08-25,4664.398,269.8
2010-08-26,4691.38,271.11
2010-08-27,4727.685,270.22
2010-08-30,4882.169,270.41
2010-08-31,4896.386,270.28
2010-09-01,4862.493,274.1
2010-09-02,4930.159,273.1
2010-09-03,4935.557,273.72
2010-09-06,4932.924,273.25
2010-09-07,4954.509,273.15
2010-09-08,4997.029,275.33
2010-09-09,4987.955,273.83
2010-09-10,5097.831,272.01
2010-09-13,5137.244,272.08
2010-09-14,5133.237,272.6
2010-09-15,5106.644,276.55
2010-09-16,5001.234,275.95
2010-09-17,5012.92,278.24
2010-09-20,4985.324,279.2
2010-09-21,4985.006,277.4
2010-09-27,5102.064,281.15
2010-09-28,5097.455,279.42
2010-09-29,5008.566,283.19
2010-09-30,5103.501,284.11
2010-10-08,5205.517,285.69
2010-10-11,5153.12,290.85
2010-10-12,5139.995,289.98
2010-10-13,5159.684,292.47
2010-10-14,5014.801,297.47
2010-10-15,5020.643,297.18
2010-10-18,5016.155,292.41
2010-10-19,5144.95,293.34
2010-10-20,5225.996,286.99
2010-10-21,5240.802,286.95
2010-10-22,5261.154,284.41
2010-10-25,5385.566,291.5
2010-10-26,5367.85,289.28
2010-10-27,5303.338,287.83
2010-10-28,5274.861,287.55
2010-10-29,5356.526,290.01
2010-11-01,5484.767,295.27
2010-11-02,5403.766,294.28
2010-11-03,5341.519,292.39
2010-11-04,5452.839,293.67
2010-11-05,5500.715,301.24
2010-11-08,5578.219,301.62
2010-11-09,5617.751,311.23
2010-11-10,5667.241,305.76
2010-11-11,5601.701,307.16
2010-11-12,5296.892,301.0
2010-11-15,5459.444,295.9
2010-11-16,5337.134,294.55
2010-11-17,5111.693,288.4
2010-11-18,5201.121,292.99
2010-11-19,5345.847,294.0
2010-11-22,5456.148,294.31
2010-11-23,5413.008,294.98
2010-11-24,5585.143,298.68
2010-11-25,5579.763,297.45
2010-11-26,5554.933,295.21
2010-11-29,5593.806,294.8
2010-11-30,5431.059,296.31
2010-12-01,5405.541,303.95
2010-12-02,5409.375,304.96
2010-12-03,5328.019,303.65
2010-12-06,5267.569,308.51
2010-12-07,5352.262,309.84
2010-12-08,5308.312,301.3
2010-12-09,5191.942,300.35
2010-12-10,5277.954,301.38
2010-12-13,5414.875,302.34
2010-12-14,5437.024,305.95
2010-12-15,5421.557,301.1
2010-12-16,5413.13,300.25
2010-12-17,5392.341,299.53
2010-12-20,5308.264,302.35
2010-12-21,5372.587,302.38
2010-12-22,5300.355,302.33
2010-12-23,5230.721,302.01
2010-12-24,5164.375,301.5
2010-12-27,5023.388,301.6
2010-12-28,4952.366,303.73
2010-12-29,5022.754,307.1
2010-12-30,5032.651,308.37
2011-01-04,5202.535,307.81
2011-01-05,5176.604,299.95
2011-01-06,5187.587,298.91
2011-01-07,5226.06,297.01
2011-01-10,5137.619,299.21
2011-01-11,5154.89,299.66
2011-01-12,5184.061,301.06
2011-01-13,5195.783,299.84
2011-01-14,5150.702,297.4
2011-01-17,4966.639,292.75
2011-01-18,4976.508,294.33
2011-01-19,5072.313,295.86
2011-01-20,4941.952,293.3
2011-01-21,4978.303,290.2
2011-01-24,4918.978,291.6
2011-01-25,4920.098,287.75
2011-01-26,4952.362,288.95
2011-01-27,5015.577,290.41
2011-01-28,5044.657,284.73
2011-01-31,5101.178,288.35
2011-02-01,5096.457,289.61
2011-02-09,5056.438,292.96
2011-02-10,5179.22,292.7
2011-02-11,5208.57,293.32
2011-02-14,5324.685,293.0
2011-02-15,5315.53,293.59
2011-02-16,5372.656,295.88
2011-02-17,5370.245,296.06
2011-02-18,5338.197,297.42
2011-02-21,5422.706,299.27
2011-02-22,5264.137,299.5
2011-02-23,5313.305,299.7
2011-02-24,5342.013,301.2
2011-02-25,5341.384,299.61
2011-02-28,5423.979,301.28
2011-03-01,5434.38,302.0
2011-03-02,5442.366,303.58
2011-03-03,5430.356,301.61
2011-03-04,5500.207,299.99
2011-03-07,5569.483,304.33
2011-03-08,5600.76,301.92
2011-03-09,5593.32,301.78
2011-03-10,5536.242,303.17
2011-03-11,5506.46,299.12
2011-03-14,5529.283,301.26
2011-03-15,5449.094,299.38
2011-03-16,5501.325,296.82
2011-03-17,5415.613,295.8
2011-03-18,5437.174,299.05
2011-03-21,5426.77,303.1
2011-03-22,5456.478,302.29
2011-03-23,5515.292,302.42
2011-03-24,5504.387,303.3
2011-03-25,5589.921,303.28
2011-03-28,5568.507,299.9
2011-03-29,5472.731,299.82
2011-03-30,5477.111,300.35
2011-03-31,5415.465,301.26
2011-04-01,5466.696,301.89
2011-04-06,5489.355,306.13
2011-04-07,5498.833,305.33
2011-04-08,5546.862,307.8
2011-04-11,5506.494,307.47
2011-04-12,5532.746,305.89
2011-04-13,5592.848,307.11
2011-04-14,5572.813,307.69
2011-04-15,5566.955,308.32
2011-04-18,5597.556,312.22
2011-04-19,5523.765,311.25
2011-04-20,5555.758,314.54
2011-04-21,5589.204,315.14
2011-04-22,5577.142,315.64
2011-04-25,5526.839,316.69
2011-04-26,5455.563,312.8
2011-04-27,5436.878,313.36
2011-04-28,5316.555,318.1
2011-04-29,5398.479,317.4
2011-05-03,5460.171,317.15
2011-05-04,5360.595,314.21
2011-05-05,5384.887,313.11
2011-05-06,5364.044,309.38
2011-05-09,5376.045,310.9
2011-05-10,5398.349,312.09
2011-05-11,5408.207,314.64
2011-05-12,5339.338,310.1
2011-05-13,5383.336,314.24
2011-05-16,5345.02,310.9
2011-05-17,5326.324,311.59
2011-05-18,5373.34,310.86
2011-05-19,5356.768,312.37
2011-05-20,5360.836,313.24
2011-05-23,5175.683,314.14
2011-05-24,5186.755,317.09
2011-05-25,5139.804,317.23
2011-05-26,5118.534,317.9
2011-05-27,5055.713,317.54
2011-05-30,5010.413,319.49
2011-05-31,5084.133,320.01
2011-06-01,5117.168,317.53
2011-06-02,5029.413,320.25
2011-06-03,5100.768,319.35
2011-06-07,5075.307,321.3
2011-06-08,5069.393,320.05
2011-06-09,4954.157,319.0
2011-06-10,4950.931,320.56
2011-06-13,4924.399,318.5
2011-06-14,4976.483,317.11
2011-06-15,4920.56,317.19
2011-06-16,4818.531,318.15
2011-06-17,4759.271,317.66
2011-06-20,4744.961,320.27
2011-06-21,4795.471,321.31
2011-06-22,4764.467,321.2
2011-06-23,4838.34,321.07
2011-06-24,4943.132,316.82
2011-06-27,4963.969,311.52
2011-06-28,4954.431,312.16
2011-06-29,4911.789,313.57
2011-06-30,4970.77,314.18
2011-07-01,4980.893,311.8
2011-07-04,5088.494,311.95
2011-07-05,5095.204,311.24
2011-07-06,5096.251,316.56
2011-07-07,5079.735,319.55
2011-07-08,5079.88,319.19
2011-07-11,5109.378,321.86
2011-07-12,5035.207,322.07
2011-07-13,5120.928,326.66
2011-07-14,5140.532,329.67
2011-07-15,5164.639,328.11
2011-07-18,5171.644,332.48
2011-07-19,5112.603,334.11
2011-07-20,5112.231,330.59
2011-07-21,5074.044,333.45
2011-07-22,5100.256,330.2
2011-07-25,4963.831,336.1
2011-07-26,4980.268,335.41
2011-07-27,5023.792,336.62
2011-07-28,4995.646,335.2
2011-07-29,4985.556,334.5
2011-08-01,4985.16,333.51
2011-08-02,4951.631,335.58
2011-08-03,4951.549,345.3
2011-08-04,4962.956,345.62
