date,stock,gold
2009-01-05,1882.959,190.25
2009-01-06,1942.795,184.61
2009-01-07,1931.178,187.63
2009-01-08,1887.991,184.79
2009-01-09,1918.365,186.94
2009-01-12,1920.687,185.82
2009-01-13,1876.185,179.2
2009-01-14,1955.244,180.9
2009-01-15,1954.874,177.48
2009-01-16,1990.214,180.41
2009-01-19,2012.465,184.12
2009-01-20,2025.19,181.65
2009-01-21,2021.71,186.43
2009-01-22,2044.551,186.61
2009-01-23,2032.682,187.51
2009-02-02,2057.063,198.46
2009-02-03,2108.91,197.31
2009-02-04,2166.414,196.85
2009-02-05,2150.971,198.75
2009-02-06,2237.28,200.31
2009-02-09,2296.672,198.33
2009-02-10,2326.755,195.99
2009-02-11,2331.138,199.58
2009-02-12,2318.343,205.54
2009-02-13,2399.065,206.08
2009-02-16,2462.245,205.52
2009-02-17,2385.293,210.83
2009-02-18,2275.843,213.59
2009-02-19,2298.412,214.01
2009-02-20,2344.32,214.4
2009-02-23,2410.481,216.5
2009-02-24,2301.849,216.8
2009-02-25,2304.251,209.63
2009-02-26,2190.185,208.23
2009-02-27,2140.489,206.48
2009-03-02,2164.666,209.31
2009-03-03,2142.154,203.96
2009-03-04,2285.149,201.48
2009-03-05,2304.919,202.5
2009-03-06,2286.576,207.73
2009-03-09,2202.527,206.06
2009-03-10,2240.782,201.58
2009-03-11,2220.38,198.49
2009-03-12,2215.7,201.79
2009-03-13,2205.422,202.75
2009-03-16,2241.614,203.63
2009-03-17,2322.403,202.01
2009-03-18,2332.652,200.57
2009-03-19,2382.564,205.28
2009-03-20,2379.838,210.41
2009-03-23,2439.395,211.43
2009-03-24,2451.783,206.96
2009-03-25,2401.327,204.4
2009-03-26,2479.789,206.35
2009-03-27,2498.931,205.62
2009-03-30,2484.487,204.15
2009-03-31,2507.789,202.49
2009-04-01,2548.222,202.13
2009-04-02,2576.4,202.85
2009-04-03,2570.503,198.94
2009-04-07,2576.95,193.4
2009-04-08,2479.348,195.53
2009-04-09,2517.669,193.76
2009-04-10,2595.53,194.59
2009-04-13,2656.518,195.78
2009-04-14,2676.872,197.95
2009-04-15,2686.99,196.3
2009-04-16,2687.106,196.77
2009-04-17,2650.691,192.42
2009-04-20,2707.667,191.3
2009-04-21,2675.442,196.64
2009-04-22,2576.281,195.31
2009-04-23,2593.564,196.7
2009-04-24,2572.888,201.15
2009-04-27,2513.292,201.43
2009-04-28,2518.531,197.42
2009-04-29,2605.37,197.2
2009-04-30,2622.926,198.18
2009-05-04,2714.301,197.31
2009-05-05,2727.014,199.22
2009-05-06,2764.979,198.99
2009-05-07,2767.076,201.33
2009-05-08,2789.219,201.75
2009-05-11,2725.316,201.83
2009-05-12,2788.562,200.73
2009-05-13,2814.005,203.96
2009-05-14,2792.597,202.72
2009-05-15,2796.116,203.23
2009-05-18,2810.573,204.53
2009-05-19,2840.084,202.44
2009-05-20,2812.865,203.73
2009-05-21,2750.01,206.85
2009-05-22,2740.677,208.39
2009-05-25,2752.716,208.8
2009-05-26,2719.764,208.02
2009-05-27,2759.712,207.98
2009-06-01,2858.342,215.02
2009-06-02,2865.099,212.15
2009-06-03,2939.387,216.18
2009-06-04,2953.751,211.96
2009-06-05,2939.306,214.32
