交易日期,开盘价,最高价,最低价,收盘价,成交量,证券代码,前收盘,涨跌额,涨跌幅,成交额,是否收盘,交易状态
2009-07-03,4395.661,4467.892,4384.523,4443.054,1082073700,000932.SH,,,,0,1,正常
2009-07-06,4446.922,4452.718,4389.314,4435.521,890941300,000932.SH,,,,0,1,正常
2009-07-07,4429.966,4523.878,4418.308,4476.946,928258400,000932.SH,,,,0,1,正常
2009-07-08,4443.022,4506.67,4427.633,4494.119,769583900,000932.SH,,,,0,1,正常
2009-07-09,4498.505,4606.12,4498.505,4606.12,1110287000,000932.SH,,,,0,1,正常
2009-07-10,4613.412,4675.055,4612.2,4647.145,1095308400,000932.SH,,,,0,1,正常
2009-07-13,4684.196,4743.663,4684.196,4726.38,1095253400,000932.SH,,,,0,1,正常
2009-07-14,4782.575,4815.554,4751.524,4815.502,1276470700,000932.SH,,,,0,1,正常
2009-07-15,4819.486,4822.512,4764.295,4793.456,1130046700,000932.SH,,,,0,1,正常
2009-07-16,4810.801,4821.991,4743.535,4765.277,1126185000,000932.SH,,,,0,1,正常
2009-07-17,4755.547,4784.369,4716.533,4757.141,930426100,000932.SH,,,,0,1,正常
2009-07-20,4763.548,4806.324,4750.752,4805.796,1067175800,000932.SH,,,,0,1,正常
2009-07-21,4813.54,4846.069,4736.948,4747.849,1083716300,000932.SH,,,,0,1,正常
2009-07-22,4745.851,4800.351,4744.522,4800.351,894311800,000932.SH,,,,0,1,正常
2009-07-23,4807.436,4853.72,4779.819,4852.468,976447200,000932.SH,,,,0,1,正常
2009-07-24,4858.464,4867.305,4729.778,4791.919,922039200,000932.SH,,,,0,1,正常
2009-07-27,4790.62,4877.255,4790.62,4876.995,949309100,000932.SH,,,,0,1,正常
2009-07-28,4879.994,4977.788,4869.496,4954.376,1353967100,000932.SH,,,,0,1,正常
2009-07-29,4944.698,4964.822,4580.846,4711.68,1380280300,000932.SH,,,,0,1,正常
2009-07-30,4742.339,4794.878,4609.72,4741.64,905822300,000932.SH,,,,0,1,正常
2009-07-31,4772.279,4844.673,4749.741,4844.623,881442000,000932.SH,,,,0,1,正常
2009-08-03,4890.814,5005.857,4890.814,5003.478,1101692600,000932.SH,,,,0,1,正常
2009-08-04,5015.976,5105.495,4922.966,5104.208,1719064800,000932.SH,,,,0,1,正常
2009-08-05,5120.73,5218.107,5099.134,5184.854,1709849000,000932.SH,,,,0,1,正常
2009-08-06,5138.965,5166.033,5020.635,5088.63,1107377400,000932.SH,,,,0,1,正常
2009-08-07,5090.177,5141.195,4905.663,4935.444,850776800,000932.SH,,,,0,1,正常
2009-08-10,4991.514,5028.201,4873.044,4953.579,733787000,000932.SH,,,,0,1,正常
2009-08-11,4966.605,5057.587,4930.719,5032.454,671927100,000932.SH,,,,0,1,正常
2009-08-12,5021.292,5065.59,4817.289,4839.358,773784900,000932.SH,,,,0,1,正常
2009-08-13,4832.275,4865.502,4749.598,4801.93,598465200,000932.SH,,,,0,1,正常
2009-08-14,4803.145,4803.331,4570.799,4572.477,687796200,000932.SH,,,,0,1,正常
2009-08-17,4518.209,4551.354,4296.023,4307.801,655259100,000932.SH,,,,0,1,正常
2009-08-18,4280.45,4394.482,4270.979,4383.309,490869300,000932.SH,,,,0,1,正常
2009-08-19,4392.365,4441.765,4220.38,4254.458,614461400,000932.SH,,,,0,1,正常
2009-08-20,4252.696,4396.47,4250.109,4395.555,544233900,000932.SH,,,,0,1,正常
2009-08-21,4398.495,4520.488,4375.042,4518.738,698933600,000932.SH,,,,0,1,正常
2009-08-24,4531.41,4606.417,4489.187,4589.418,712541900,000932.SH,,,,0,1,正常
2009-08-25,4587.356,4587.356,4392.561,4513.856,832573300,000932.SH,,,,0,1,正常
2009-08-26,4483.968,4684.089,4466.723,4659.365,851549900,000932.SH,,,,0,1,正常
2009-08-27,4649.407,4768.456,4630.006,4744.83,965746500,000932.SH,,,,0,1,正常
2009-08-28,4734.301,4757.692,4667.538,4672.491,857540200,000932.SH,,,,0,1,正常
2009-08-31,4612.654,4612.654,4408.137,4415.194,815860300,000932.SH,,,,0,1,正常
2009-09-01,4382.965,4464.074,4334.709,4382.902,572780800,000932.SH,,,,0,1,正常
2009-09-02,4347.07,4384.73,4301.347,4377.417,429703100,000932.SH,,,,0,1,正常
2009-09-03,4370.743,4550.13,4370.743,4547.841,573966500,000932.SH,,,,0,1,正常
2009-09-04,4533.248,4672.018,4507.12,4645.325,840027000,000932.SH,,,,0,1,正常
2009-09-07,4667.228,4849.93,4667.228,4791.376,978667300,000932.SH,,,,0,1,正常
2009-09-08,4768.602,4874.997,4732.551,4851.988,887247200,000932.SH,,,,0,1,正常
2009-09-09,4845.308,4886.228,4722.963,4797.322,1021866900,000932.SH,,,,0,1,正常
2009-09-10,4759.914,4782.361,4694.098,4753.716,784272300,000932.SH,,,,0,1,正常
2009-09-11,4737.451,4828.781,4735.086,4811.497,847163200,000932.SH,,,,0,1,正常
2009-09-14,4834.775,4946.991,4829.473,4938.94,1203826300,000932.SH,,,,0,1,正常
2009-09-15,4941.131,4960.929,4880.928,4940.52,1024230800,000932.SH,,,,0,1,正常
2009-09-16,4930.096,4933.304,4826.689,4896.639,928464400,000932.SH,,,,0,1,正常
2009-09-17,4895.927,4970.44,4895.927,4962.284,903521800,000932.SH,,,,0,1,正常
2009-09-18,4967.225,4976.689,4795.209,4831.88,830060700,000932.SH,,,,0,1,正常
2009-09-21,4792.845,4890.029,4709.097,4888.933,724122900,000932.SH,,,,0,1,正常
2009-09-22,4875.352,4964.476,4853.302,4853.302,730390400,000932.SH,,,,0,1,正常
2009-09-23,4829.651,4870.603,4695.092,4709.947,575801000,000932.SH,,,,0,1,正常
2009-09-24,4688.988,4698.04,4555.018,4652.587,435395800,000932.SH,,,,0,1,正常
2009-09-25,4647.028,4693.994,4615.383,4657.38,288278000,000932.SH,,,,0,1,正常
2009-09-28,4666.108,4710.264,4561.328,4575.535,348723200,000932.SH,,,,0,1,正常
