商品代码,交易日期,收盘价
AU.SHF,2009-01-05,190.25
AU.SHF,2009-01-06,184.61
AU.SHF,2009-01-07,187.63
AU.SHF,2009-01-08,184.79
AU.SHF,2009-01-09,186.94
AU.SHF,2009-01-12,185.82
AU.SHF,2009-01-13,179.2
AU.SHF,2009-01-14,180.9
AU.SHF,2009-01-15,177.48
AU.SHF,2009-01-16,180.41
AU.SHF,2009-01-19,184.12
AU.SHF,2009-01-20,181.65
AU.SHF,2009-01-21,186.43
AU.SHF,2009-01-22,186.61
AU.SHF,2009-01-23,187.51
AU.SHF,2009-02-02,198.46
AU.SHF,2009-02-03,197.31
AU.SHF,2009-02-04,196.85
AU.SHF,2009-02-05,198.75
AU.SHF,2009-02-06,200.31
AU.SHF,2009-02-09,198.33
AU.SHF,2009-02-10,195.99
AU.SHF,2009-02-11,199.58
AU.SHF,2009-02-12,205.54
AU.SHF,2009-02-13,206.08
AU.SHF,2009-02-16,205.52
AU.SHF,2009-02-17,210.83
AU.SHF,2009-02-18,213.59
AU.SHF,2009-02-19,214.01
AU.SHF,2009-02-20,214.4
AU.SHF,2009-02-23,216.5
AU.SHF,2009-02-24,216.8
AU.SHF,2009-02-25,209.63
AU.SHF,2009-02-26,208.23
AU.SHF,2009-02-27,206.48
AU.SHF,2009-03-02,209.31
AU.SHF,2009-03-03,203.96
AU.SHF,2009-03-04,201.48
AU.SHF,2009-03-05,202.5
AU.SHF,2009-03-06,207.73
AU.SHF,2009-03-09,206.06
AU.SHF,2009-03-10,201.58
AU.SHF,2009-03-11,198.49
AU.SHF,2009-03-12,201.79
AU.SHF,2009-03-13,202.75
AU.SHF,2009-03-16,203.63
AU.SHF,2009-03-17,202.01
AU.SHF,2009-03-18,200.57
AU.SHF,2009-03-19,205.28
AU.SHF,2009-03-20,210.41
AU.SHF,2009-03-23,211.43
AU.SHF,2009-03-24,206.96
AU.SHF,2009-03-25,204.4
AU.SHF,2009-03-26,206.35
AU.SHF,2009-03-27,205.62
AU.SHF,2009-03-30,204.15
AU.SHF,2009-03-31,202.49
AU.SHF,2009-04-01,202.13
AU.SHF,2009-04-02,202.85
AU.SHF,2009-04-03,198.94
AU.SHF,2009-04-07,193.4
AU.SHF,2009-04-08,195.53
AU.SHF,2009-04-09,193.76
AU.SHF,2009-04-10,194.59
AU.SHF,2009-04-13,195.78
AU.SHF,2009-04-14,197.95
AU.SHF,2009-04-15,196.3
AU.SHF,2009-04-16,196.77
AU.SHF,2009-04-17,192.42
AU.SHF,2009-04-20,191.3
AU.SHF,2009-04-21,196.64
AU.SHF,2009-04-22,195.31
AU.SHF,2009-04-23,196.7
AU.SHF,2009-04-24,201.15
AU.SHF,2009-04-27,201.43
AU.SHF,2009-04-28,197.42
AU.SHF,2009-04-29,197.2
AU.SHF,2009-04-30,198.18
AU.SHF,2009-05-04,197.31
AU.SHF,2009-05-05,199.22
AU.SHF,2009-05-06,198.99
AU.SHF,2009-05-07,201.33
AU.SHF,2009-05-08,201.75
AU.SHF,2009-05-11,201.83
AU.SHF,2009-05-12,200.73
AU.SHF,2009-05-13,203.96
AU.SHF,2009-05-14,202.72
AU.SHF,2009-05-15,203.23
AU.SHF,2009-05-18,204.53
AU.SHF,2009-05-19,202.44
AU.SHF,2009-05-20,203.73
AU.SHF,2009-05-21,206.85
AU.SHF,2009-05-22,208.39
AU.SHF,2009-05-25,208.8
AU.SHF,2009-05-26,208.02
AU.SHF,2009-05-27,207.98
AU.SHF,2009-06-01,215.02
AU.SHF,2009-06-02,212.15
AU.SHF,2009-06-03,216.18
AU.SHF,2009-06-04,211.96
AU.SHF,2009-06-05,214.32
AU.SHF,2009-06-08,209.42
AU.SHF,2009-06-09,209.12
AU.SHF,2009-06-10,209.84
AU.SHF,2009-06-11,209.48
AU.SHF,2009-06-12,208.92
AU.SHF,2009-06-15,204.87
AU.SHF,2009-06-16,205.34
AU.SHF,2009-06-17,206.3
AU.SHF,2009-06-18,206.43
AU.SHF,2009-06-19,205.04
AU.SHF,2009-06-22,205.0
AU.SHF,2009-06-23,201.6
AU.SHF,2009-06-24,203.9
AU.SHF,2009-06-25,205.48
AU.SHF,2009-06-26,207.11
AU.SHF,2009-06-29,205.92
AU.SHF,2009-06-30,207.37
AU.SHF,2009-07-01,204.45
AU.SHF,2009-07-02,206.06
AU.SHF,2009-07-03,205.14
AU.SHF,2009-07-06,203.41
AU.SHF,2009-07-07,203.16
AU.SHF,2009-07-08,202.85
AU.SHF,2009-07-09,201.06
AU.SHF,2009-07-10,200.55
AU.SHF,2009-07-13,200.1
AU.SHF,2009-07-14,202.35
AU.SHF,2009-07-15,204.09
AU.SHF,2009-07-16,205.32
AU.SHF,2009-07-17,205.34
AU.SHF,2009-07-20,207.54
AU.SHF,2009-07-21,207.77
AU.SHF,2009-07-22,207.94
AU.SHF,2009-07-23,209.17
AU.SHF,2009-07-24,208.05
AU.SHF,2009-07-27,210.08
AU.SHF,2009-07-28,209.58
AU.SHF,2009-07-29,204.9
AU.SHF,2009-07-30,204.5
AU.SHF,2009-07-31,205.93
AU.SHF,2009-08-03,209.41
AU.SHF,2009-08-04,209.67
AU.SHF,2009-08-05,211.38
AU.SHF,2009-08-06,211.57
AU.SHF,2009-08-07,210.55
AU.SHF,2009-08-10,209.78
AU.SHF,2009-08-11,208.35
AU.SHF,2009-08-12,207.15
AU.SHF,2009-08-13,209.58
AU.SHF,2009-08-14,209.9
AU.SHF,2009-08-17,207.18
AU.SHF,2009-08-18,206.5
AU.SHF,2009-08-19,205.54
AU.SHF,2009-08-20,207.51
AU.SHF,2009-08-21,206.52
AU.SHF,2009-08-24,209.77
AU.SHF,2009-08-25,207.65
AU.SHF,2009-08-26,208.26
AU.SHF,2009-08-27,208.0
AU.SHF,2009-08-28,208.8
AU.SHF,2009-08-31,209.29
AU.SHF,2009-09-01,209.72
AU.SHF,2009-09-02,210.0
AU.SHF,2009-09-03,215.57
AU.SHF,2009-09-04,217.39
AU.SHF,2009-09-07,218.9
AU.SHF,2009-09-08,222.8
AU.SHF,2009-09-09,220.65
AU.SHF,2009-09-10,219.47
AU.SHF,2009-09-11,220.27
AU.SHF,2009-09-14,219.57
AU.SHF,2009-09-15,219.27
AU.SHF,2009-09-16,225.24
AU.SHF,2009-09-17,225.96
AU.SHF,2009-09-18,223.1
AU.SHF,2009-09-21,221.1
AU.SHF,2009-09-22,223.3
AU.SHF,2009-09-23,223.13
AU.SHF,2009-09-24,223.51
AU.SHF,2009-09-25,218.9
AU.SHF,2009-09-28,216.83
AU.SHF,2009-09-29,217.77
AU.SHF,2009-09-30,218.7
AU.SHF,2009-10-09,228.95
AU.SHF,2009-10-12,229.75
AU.SHF,2009-10-13,231.59
AU.SHF,2009-10-14,233.85
AU.SHF,2009-10-15,231.85
AU.SHF,2009-10-16,230.38
AU.SHF,2009-10-19,231.7
AU.SHF,2009-10-20,234.59
AU.SHF,2009-10-21,232.22
AU.SHF,2009-10-22,231.85
AU.SHF,2009-10-23,233.2
AU.SHF,2009-10-26,231.98
AU.SHF,2009-10-27,229.37
AU.SHF,2009-10-28,229.0
AU.SHF,2009-10-29,227.5
AU.SHF,2009-10-30,230.68
AU.SHF,2009-11-02,230.71
AU.SHF,2009-11-03,233.86
AU.SHF,2009-11-04,238.06
AU.SHF,2009-11-05,238.12
AU.SHF,2009-11-06,239.25
AU.SHF,2009-11-09,242.17
AU.SHF,2009-11-10,240.84
AU.SHF,2009-11-11,242.62
AU.SHF,2009-11-12,245.56
AU.SHF,2009-11-13,242.91
AU.SHF,2009-11-16,247.39
AU.SHF,2009-11-17,248.48
AU.SHF,2009-11-18,249.49
AU.SHF,2009-11-19,250.26
AU.SHF,2009-11-20,250.92
AU.SHF,2009-11-23,255.42
AU.SHF,2009-11-24,255.05
AU.SHF,2009-11-25,259.33
AU.SHF,2009-11-26,261.92
AU.SHF,2009-11-27,257.02
AU.SHF,2009-11-30,258.23
AU.SHF,2009-12-01,259.33
AU.SHF,2009-12-02,267.5
AU.SHF,2009-12-03,267.55
AU.SHF,2009-12-04,265.8
AU.SHF,2009-12-07,254.81
AU.SHF,2009-12-08,255.9
AU.SHF,2009-12-09,248.85
AU.SHF,2009-12-10,249.27
AU.SHF,2009-12-11,250.7
AU.SHF,2009-12-14,249.7
AU.SHF,2009-12-15,248.31
AU.SHF,2009-12-16,252.38
AU.SHF,2009-12-17,249.73
AU.SHF,2009-12-18,245.4
AU.SHF,2009-12-21,246.8
AU.SHF,2009-12-22,242.43
AU.SHF,2009-12-23,241.3
AU.SHF,2009-12-24,245.61
AU.SHF,2009-12-25,246.35
AU.SHF,2009-12-28,247.98
AU.SHF,2009-12-29,246.4
AU.SHF,2009-12-30,243.39
AU.SHF,2010-01-04,245.96
AU.SHF,2010-01-05,253.23
AU.SHF,2010-01-06,251.1
AU.SHF,2010-01-07,252.36
AU.SHF,2010-01-08,249.56
AU.SHF,2010-01-11,256.85
AU.SHF,2010-01-12,257.15
AU.SHF,2010-01-13,250.72
AU.SHF,2010-01-14,252.97
AU.SHF,2010-01-15,252.21
AU.SHF,2010-01-18,251.81
AU.SHF,2010-01-19,252.39
AU.SHF,2010-01-20,251.38
AU.SHF,2010-01-21,248.3
AU.SHF,2010-01-22,243.32
AU.SHF,2010-01-25,245.36
AU.SHF,2010-01-26,243.1
AU.SHF,2010-01-27,243.81
AU.SHF,2010-01-28,241.44
AU.SHF,2010-01-29,239.36
AU.SHF,2010-02-01,239.56
AU.SHF,2010-02-02,244.74
AU.SHF,2010-02-03,247.24
AU.SHF,2010-02-04,245.11
AU.SHF,2010-02-05,235.77
AU.SHF,2010-02-08,236.86
AU.SHF,2010-02-09,238.47
AU.SHF,2010-02-10,239.85
AU.SHF,2010-02-11,240.3
AU.SHF,2010-02-12,242.2
AU.SHF,2010-02-22,248.33
AU.SHF,2010-02-23,247.22
AU.SHF,2010-02-24,245.06
AU.SHF,2010-02-25,242.28
AU.SHF,2010-02-26,246.4
AU.SHF,2010-03-01,247.79
AU.SHF,2010-03-02,247.38
AU.SHF,2010-03-03,251.9
AU.SHF,2010-03-04,251.05
AU.SHF,2010-03-05,251.28
AU.SHF,2010-03-08,252.01
AU.SHF,2010-03-09,248.36
AU.SHF,2010-03-10,249.44
AU.SHF,2010-03-11,245.93
AU.SHF,2010-03-12,246.82
AU.SHF,2010-03-15,244.99
AU.SHF,2010-03-16,246.34
AU.SHF,2010-03-17,250.13
AU.SHF,2010-03-18,248.53
AU.SHF,2010-03-19,248.71
AU.SHF,2010-03-22,244.99
AU.SHF,2010-03-23,244.5
AU.SHF,2010-03-24,243.9
AU.SHF,2010-03-25,241.8
AU.SHF,2010-03-26,243.88
AU.SHF,2010-03-29,246.01
AU.SHF,2010-03-30,246.46
AU.SHF,2010-03-31,245.28
AU.SHF,2010-04-01,245.91
AU.SHF,2010-04-02,248.03
AU.SHF,2010-04-06,248.7
AU.SHF,2010-04-07,250.68
AU.SHF,2010-04-08,251.8
AU.SHF,2010-04-09,253.7
AU.SHF,2010-04-12,255.42
AU.SHF,2010-04-13,253.45
AU.SHF,2010-04-14,254.45
AU.SHF,2010-04-15,254.16
AU.SHF,2010-04-16,254.23
AU.SHF,2010-04-19,249.7
AU.SHF,2010-04-20,251.07
AU.SHF,2010-04-21,252.56
AU.SHF,2010-04-22,252.5
AU.SHF,2010-04-23,251.26
AU.SHF,2010-04-26,255.41
AU.SHF,2010-04-27,254.39
AU.SHF,2010-04-28,256.8
AU.SHF,2010-04-29,257.08
AU.SHF,2010-04-30,258.59
AU.SHF,2010-05-04,258.61
AU.SHF,2010-05-05,257.33
AU.SHF,2010-05-06,258.2
AU.SHF,2010-05-07,264.6
AU.SHF,2010-05-10,262.75
AU.SHF,2010-05-11,265.64
AU.SHF,2010-05-12,270.17
AU.SHF,2010-05-13,271.14
AU.SHF,2010-05-14,271.32
AU.SHF,2010-05-17,271.89
AU.SHF,2010-05-18,267.62
AU.SHF,2010-05-19,266.29
AU.SHF,2010-05-20,261.27
AU.SHF,2010-05-21,259.72
AU.SHF,2010-05-24,262.25
AU.SHF,2010-05-25,262.17
AU.SHF,2010-05-26,265.8
AU.SHF,2010-05-27,266.7
AU.SHF,2010-05-28,267.68
AU.SHF,2010-05-31,266.54
AU.SHF,2010-06-01,268.59
AU.SHF,2010-06-02,268.71
AU.SHF,2010-06-03,269.18
AU.SHF,2010-06-04,264.82
AU.SHF,2010-06-07,267.77
AU.SHF,2010-06-08,272.9
AU.SHF,2010-06-09,271.35
AU.SHF,2010-06-10,270.24
AU.SHF,2010-06-11,268.44
AU.SHF,2010-06-17,271.47
AU.SHF,2010-06-18,273.93
AU.SHF,2010-06-21,276.98
AU.SHF,2010-06-22,271.24
AU.SHF,2010-06-23,272.08
AU.SHF,2010-06-24,270.75
AU.SHF,2010-06-25,272.95
AU.SHF,2010-06-28,274.91
AU.SHF,2010-06-29,270.6
