证券代码,交易日期,收盘价
000300.SH,2009-01-05,1882.959
000300.SH,2009-01-06,1942.795
000300.SH,2009-01-07,1931.178
000300.SH,2009-01-08,1887.991
000300.SH,2009-01-09,1918.365
000300.SH,2009-01-12,1920.687
000300.SH,2009-01-13,1876.185
000300.SH,2009-01-14,1955.244
000300.SH,2009-01-15,1954.874
000300.SH,2009-01-16,1990.214
000300.SH,2009-01-19,2012.465
000300.SH,2009-01-20,2025.19
000300.SH,2009-01-21,2021.71
000300.SH,2009-01-22,2044.551
000300.SH,2009-01-23,2032.682
000300.SH,2009-02-02,2057.063
000300.SH,2009-02-03,2108.91
000300.SH,2009-02-04,2166.414
000300.SH,2009-02-05,2150.971
000300.SH,2009-02-06,2237.28
000300.SH,2009-02-09,2296.672
000300.SH,2009-02-10,2326.755
000300.SH,2009-02-11,2331.138
000300.SH,2009-02-12,2318.343
000300.SH,2009-02-13,2399.065
000300.SH,2009-02-16,2462.245
000300.SH,2009-02-17,2385.293
000300.SH,2009-02-18,2275.843
000300.SH,2009-02-19,2298.412
000300.SH,2009-02-20,2344.32
000300.SH,2009-02-23,2410.481
000300.SH,2009-02-24,2301.849
000300.SH,2009-02-25,2304.251
000300.SH,2009-02-26,2190.185
000300.SH,2009-02-27,2140.489
000300.SH,2009-03-02,2164.666
000300.SH,2009-03-03,2142.154
000300.SH,2009-03-04,2285.149
000300.SH,2009-03-05,2304.919
000300.SH,2009-03-06,2286.576
000300.SH,2009-03-09,2202.527
000300.SH,2009-03-10,2240.782
000300.SH,2009-03-11,2220.38
000300.SH,2009-03-12,2215.7
000300.SH,2009-03-13,2205.422
000300.SH,2009-03-16,2241.614
000300.SH,2009-03-17,2322.403
000300.SH,2009-03-18,2332.652
000300.SH,2009-03-19,2382.564
000300.SH,2009-03-20,2379.838
000300.SH,2009-03-23,2439.395
000300.SH,2009-03-24,2451.783
000300.SH,2009-03-25,2401.327
000300.SH,2009-03-26,2479.789
000300.SH,2009-03-27,2498.931
000300.SH,2009-03-30,2484.487
000300.SH,2009-03-31,2507.789
000300.SH,2009-04-01,2548.222
000300.SH,2009-04-02,2576.4
000300.SH,2009-04-03,2570.503
000300.SH,2009-04-07,2576.95
000300.SH,2009-04-08,2479.348
000300.SH,2009-04-09,2517.669
000300.SH,2009-04-10,2595.53
000300.SH,2009-04-13,2656.518
000300.SH,2009-04-14,2676.872
000300.SH,2009-04-15,2686.99
000300.SH,2009-04-16,2687.106
000300.SH,2009-04-17,2650.691
000300.SH,2009-04-20,2707.667
000300.SH,2009-04-21,2675.442
000300.SH,2009-04-22,2576.281
000300.SH,2009-04-23,2593.564
000300.SH,2009-04-24,2572.888
000300.SH,2009-04-27,2513.292
000300.SH,2009-04-28,2518.531
000300.SH,2009-04-29,2605.37
000300.SH,2009-04-30,2622.926
000300.SH,2009-05-04,2714.301
000300.SH,2009-05-05,2727.014
000300.SH,2009-05-06,2764.979
000300.SH,2009-05-07,2767.076
000300.SH,2009-05-08,2789.219
000300.SH,2009-05-11,2725.316
000300.SH,2009-05-12,2788.562
