etf_code,trade_date,adj_close
TLT,2003-01-02,38.9211
TLT,2003-01-03,39.0113
TLT,2003-01-06,38.9076
TLT,2003-01-07,39.0474
TLT,2003-01-08,39.2414
TLT,2003-01-09,38.4881
TLT,2003-01-10,38.5873
TLT,2003-01-13,38.6505
TLT,2003-01-14,38.7858
TLT,2003-01-15,38.9752
TLT,2003-01-16,39.0294
TLT,2003-01-17,39.2234
TLT,2003-01-21,39.4489
TLT,2003-01-22,39.6429
TLT,2003-01-23,39.4489
TLT,2003-01-24,39.6835
TLT,2003-01-27,39.5391
TLT,2003-01-28,39.5391
TLT,2003-01-29,39.3226
TLT,2003-01-30,39.6158
TLT,2003-01-31,39.7241
TLT,2003-02-03,39.782
TLT,2003-02-04,39.9586
TLT,2003-02-05,39.6145
TLT,2003-02-06,39.9359
TLT,2003-02-07,40.0265
TLT,2003-02-10,39.7458
TLT,2003-02-11,39.7367
TLT,2003-02-12,39.8771
TLT,2003-02-13,40.0944
TLT,2003-02-14,39.7504
TLT,2003-02-18,39.8001
TLT,2003-02-19,40.0717
TLT,2003-02-20,40.2076
TLT,2003-02-21,39.9721
TLT,2003-02-24,40.1623
TLT,2003-02-25,40.3479
TLT,2003-02-26,40.6286
TLT,2003-02-27,40.6965
TLT,2003-02-28,40.9545
TLT,2003-03-03,41.0045
TLT,2003-03-04,41.0317
TLT,2003-03-05,41.168
TLT,2003-03-06,41.009
TLT,2003-03-07,41.1499
TLT,2003-03-10,41.3634
TLT,2003-03-11,41.2907
TLT,2003-03-12,41.4407
TLT,2003-03-13,40.6773
TLT,2003-03-14,40.8772
TLT,2003-03-17,40.3865
TLT,2003-03-18,40.0048
TLT,2003-03-19,39.7094
TLT,2003-03-20,39.6458
TLT,2003-03-21,39.1005
TLT,2003-03-24,39.7185
TLT,2003-03-25,39.6731
TLT,2003-03-26,39.7549
TLT,2003-03-27,39.7821
TLT,2003-03-28,39.873
TLT,2003-03-31,40.3956
TLT,2003-04-01,40.2806
TLT,2003-04-02,39.8608
TLT,2003-04-03,39.838
TLT,2003-04-04,39.7239
TLT,2003-04-07,39.6326
TLT,2003-04-08,39.952
TLT,2003-04-09,40.0706
TLT,2003-04-10,39.8836
TLT,2003-04-11,39.8197
TLT,2003-04-14,39.7102
TLT,2003-04-15,39.9246
TLT,2003-04-16,40.0889
TLT,2003-04-17,40.1528
TLT,2003-04-21,40.0661
TLT,2003-04-22,40.0433
TLT,2003-04-23,40.1255
TLT,2003-04-24,40.4859
TLT,2003-04-25,40.5772
TLT,2003-04-28,40.5133
TLT,2003-04-29,40.4449
TLT,2003-04-30,40.819
TLT,2003-05-01,40.8388
TLT,2003-05-02,40.5177
TLT,2003-05-05,40.7333
TLT,2003-05-06,40.9351
TLT,2003-05-07,41.4122
TLT,2003-05-08,41.5132
TLT,2003-05-09,41.5545
TLT,2003-05-12,41.8159
TLT,2003-05-13,41.9077
TLT,2003-05-14,42.55
TLT,2003-05-15,42.683
TLT,2003-05-16,42.995
TLT,2003-05-19,42.8482
TLT,2003-05-20,43.4813
TLT,2003-05-21,43.4766
TLT,2003-05-22,43.862
TLT,2003-05-23,43.9721
TLT,2003-05-27,43.1784
TLT,2003-05-28,43.105
TLT,2003-05-29,43.4813
TLT,2003-05-30,43.3986
TLT,2003-06-02,43.0798
TLT,2003-06-03,43.4254
TLT,2003-06-04,43.5543
TLT,2003-06-05,43.2134
TLT,2003-06-06,43.37
TLT,2003-06-09,43.6604
TLT,2003-06-10,44.1809
TLT,2003-06-11,44.1257
TLT,2003-06-12,44.4711
TLT,2003-06-13,44.7706
TLT,2003-06-16,44.3468
TLT,2003-06-17,43.9966
TLT,2003-06-18,43.4346
TLT,2003-06-19,43.3516
TLT,2003-06-20,43.1904
TLT,2003-06-23,43.4484
TLT,2003-06-24,43.8492
TLT,2003-06-25,43.149
TLT,2003-06-26,42.5685
TLT,2003-06-27,42.4164
TLT,2003-06-30,42.6146
TLT,2003-07-01,42.4032
TLT,2003-07-02,42.5096
