entry_date,final_value,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe_ratio,annual_volatility_pct,benchmark_return_pct,outperform_benchmark,holding_years
2009-01-05,2738938.11,173.8938,5.9742,13.6876,0.5169,7.3745,158.0828,Yes,17.36
2009-01-06,2731493.9,173.1494,5.9585,14.0011,0.5132,7.3748,150.1341,Yes,17.36
2009-01-07,2721663.11,172.1663,5.9375,14.0035,0.5202,7.3761,151.6388,Yes,17.36
2009-01-08,2759866.75,175.9867,6.0236,13.6456,0.5193,7.3613,157.3949,Yes,17.36
2009-01-09,2729832.17,172.9832,5.9577,14.0035,0.5162,7.3772,153.3195,Yes,17.35
2009-01-12,2732550.72,173.2551,5.9667,14.0035,0.5288,7.369,153.0133,Yes,17.35
2009-01-13,2774824.15,177.4824,6.0615,13.9892,0.5187,7.3738,159.0146,Yes,17.34
2009-01-14,2746493.59,174.6494,5.9997,13.8739,0.5272,7.3369,148.5415,Yes,17.34
2009-01-15,2763180.16,176.318,6.0378,13.8739,0.5216,7.3328,148.5886,Yes,17.34
2009-01-16,2734390.88,173.4391,5.9747,14.0005,0.514,7.3289,144.1744,Yes,17.33
2009-01-19,2708130.01,170.813,5.9186,14.1142,0.5138,7.3359,141.4747,Yes,17.33
2009-01-20,2715878.08,171.5878,5.937,14.0849,0.5106,7.3242,139.9574,Yes,17.32
2009-01-21,2695850.84,169.5851,5.8927,14.1142,0.5066,7.3351,140.3704,Yes,17.32
2009-01-22,2689780.76,168.9781,5.8799,14.0849,0.5083,7.3237,137.6851,Yes,17.32
2009-01-23,2687149.71,168.715,5.8749,14.1142,0.4932,7.3235,139.073,Yes,17.32
2009-02-02,2645029.4,164.5029,5.7877,14.0005,0.4913,7.3133,136.2394,Yes,17.29
2009-02-03,2637274.83,163.7275,5.7707,14.0005,0.4893,7.289,130.4315,Yes,17.28
2009-02-04,2617166.88,161.7167,5.7248,14.0005,0.4883,7.2802,124.3151,Yes,17.28
2009-02-05,2615489.61,161.549,5.7218,14.0005,0.4786,7.2819,125.9255,Yes,17.28
2009-02-06,2586676.73,158.6677,5.655,14.121,0.4766,7.2702,117.2099,Yes,17.28
2009-02-09,2616492.59,161.6493,5.7279,13.2936,0.4882,7.2924,111.5928,Yes,17.27
2009-02-10,2613528.36,161.3528,5.7219,13.2936,0.4841,7.283,108.8571,Yes,17.27
2009-02-11,2601042.62,160.1043,5.6935,13.2936,0.4796,7.282,108.4644,Yes,17.26
2009-02-12,2587453.47,158.7453,5.6624,13.2936,0.4724,7.2876,109.6149,Yes,17.26
2009-02-13,2525574.11,152.5574,5.5152,14.121,0.4581,7.2367,102.562,Yes,17.26
2009-02-16,2505355.01,150.5355,5.4687,15.2574,0.4514,7.3553,97.3643,Yes,17.25
2009-02-17,2549719.27,154.9719,5.577,13.2936,0.4761,7.274,103.7315,Yes,17.25
2009-02-18,2535275.97,153.5276,5.5432,14.121,0.4628,7.2634,113.5294,Yes,17.24
2009-02-19,2525809.78,152.581,5.5212,14.121,0.4579,7.2618,111.4326,Yes,17.24
2009-02-20,2553840.58,155.3841,5.5897,13.2936,0.4629,7.2814,107.2922,Yes,17.24
2009-02-23,2493894.85,149.3895,5.4469,14.121,0.4632,7.2277,101.6026,Yes,17.23
2009-02-24,2517257.32,151.7257,5.5049,14.121,0.4674,7.2522,111.1169,Yes,17.23
2009-02-25,2577657.99,157.7658,5.6511,13.2936,0.4912,7.2746,110.8969,Yes,17.22
2009-02-26,2571387.14,157.1387,5.6371,14.0005,0.4852,7.2547,121.8805,Yes,17.22
2009-02-27,2586251.68,158.6252,5.6734,14.0849,0.4774,7.2742,127.0319,Yes,17.22
2009-03-02,2578257.29,157.8257,5.6572,14.0005,0.4889,7.2527,124.4962,Yes,17.21
2009-03-03,2601885.95,160.1886,5.7142,14.0005,0.4782,7.2472,126.8554,Yes,17.21
2009-03-04,2606678.94,160.6679,5.7264,13.2936,0.4873,7.2657,112.6598,Yes,17.21
2009-03-05,2599225.44,159.9225,5.7097,13.2936,0.4846,7.2601,110.8357,Yes,17.2
2009-03-06,2545238.61,154.5239,5.5818,14.121,0.482,7.2309,112.5271,Yes,17.2
2009-03-09,2573624.95,157.3625,5.6526,14.0005,0.4827,7.2356,120.6372,Yes,17.19
2009-03-10,2579185.1,157.9185,5.6668,14.121,0.4891,7.233,116.8704,Yes,17.19
2009-03-11,2595890.2,159.589,5.7075,14.121,0.4864,7.2344,118.8631,Yes,17.19
2009-03-12,2582232.89,158.2233,5.6759,14.0867,0.4851,7.2363,119.3254,Yes,17.18
2009-03-13,2583363.26,158.3363,5.6796,14.0867,0.4813,7.2365,120.3475,Yes,17.18
2009-03-16,2572628.99,157.2629,5.6567,14.121,0.4767,7.233,116.7899,Yes,17.17
2009-03-17,2593204.09,159.3204,5.7067,13.2936,0.4887,7.2562,109.2485,Yes,17.17
2009-03-18,2594221.53,159.4222,5.71,13.2936,0.4798,7.2476,108.3291,Yes,17.17
2009-03-19,2530866.66,153.0867,5.5588,14.121,0.4661,7.2031,103.9648,Yes,17.16
2009-03-20,2550129.65,155.013,5.6064,13.2936,0.4693,7.24,104.1985,Yes,17.16
2009-03-23,2495524.94,149.5525,5.476,14.121,0.4632,7.1985,99.213,Yes,17.15
2009-03-24,2542464.24,154.2464,5.5915,13.2936,0.4813,7.2237,98.2065,Yes,17.15
2009-03-25,2526276.49,152.6276,5.5531,14.121,0.4619,7.1955,102.3711,Yes,17.15
2009-03-26,2494114.98,149.4115,5.4752,15.2574,0.4528,7.3167,95.968,Yes,17.15
2009-03-27,2489642.0,148.9642,5.465,15.2574,0.4551,7.3165,94.4669,Yes,17.14
2009-03-30,2498350.09,149.835,5.4892,15.2574,0.4551,7.3179,95.5974,Yes,17.13
2009-03-31,2499500.3,149.95,5.493,15.1968,0.4531,7.3159,93.78,Yes,17.13
2009-04-01,2461021.9,146.1022,5.3984,13.6456,0.4392,7.338,90.7052,Yes,17.13
2009-04-02,2451417.5,145.1418,5.3752,13.6456,0.444,7.3302,88.6195,Yes,17.13
2009-04-03,2453310.54,145.3311,5.3808,14.0035,0.4444,7.354,89.0522,Yes,17.12
2009-04-07,2480346.56,148.0347,5.4519,13.8739,0.455,7.3351,88.5793,Yes,17.11
2009-04-08,2528617.29,152.8617,5.5716,15.1968,0.4653,7.316,96.0029,Yes,17.11
2009-04-09,2486598.69,148.6599,5.4692,14.0011,0.4431,7.3637,93.0195,Yes,17.11
2009-04-10,2462063.72,146.2064,5.409,14.0666,0.4372,7.3458,87.2293,Yes,17.1
2009-04-13,2451629.86,145.163,5.3854,13.8739,0.4376,7.3136,82.9309,Yes,17.1
2009-04-14,2432898.02,143.2898,5.339,14.0011,0.4358,7.3241,81.54,Yes,17.09
2009-04-15,2442543.43,144.2543,5.3643,13.8739,0.4386,7.3085,80.8564,Yes,17.09
2009-04-16,2440483.58,144.0484,5.36,13.8739,0.4461,7.3057,80.8486,Yes,17.09
2009-04-17,2456377.17,145.6377,5.4009,14.1142,0.4401,7.3233,83.3331,Yes,17.08
2009-04-20,2453706.3,145.3706,5.3969,14.0005,0.4406,7.2976,79.4753,Yes,17.08
2009-04-21,2443262.7,144.3263,5.3714,13.8739,0.4494,7.3049,81.637,Yes,17.07
2009-04-22,2465362.91,146.5363,5.4279,14.0011,0.4431,7.3438,88.6282,Yes,17.07
2009-04-23,2455549.08,145.5549,5.4042,14.0011,0.44,7.3395,87.3712,Yes,17.07
2009-04-24,2441207.97,144.1208,5.3689,14.0578,0.4422,7.3528,88.877,Yes,17.07
2009-04-27,2498698.26,149.8698,5.5154,15.1968,0.4633,7.3064,93.3557,Yes,17.06
2009-04-28,2469830.43,146.983,5.4445,14.0035,0.4405,7.3585,92.9535,Yes,17.05
2009-04-29,2450412.87,145.0413,5.3966,14.0011,0.4398,7.3352,86.5222,Yes,17.05
2009-04-30,2441646.84,144.1647,5.3753,14.0238,0.4332,7.3321,85.2737,Yes,17.05
2009-05-04,2431252.96,143.1253,5.3525,13.8739,0.435,7.2953,79.0366,Yes,17.04
2009-05-05,2415832.95,141.5833,5.314,14.0011,0.4296,7.3074,78.202,Yes,17.04
2009-05-06,2413608.78,141.3609,5.3092,13.8739,0.4301,7.2853,75.7552,Yes,17.03
2009-05-07,2399149.77,139.915,5.2729,14.0011,0.4251,7.2993,75.622,Yes,17.03
2009-05-08,2393027.97,139.3028,5.258,14.0011,0.4302,7.2942,74.2277,Yes,17.03
2009-05-11,2405192.98,140.5193,5.292,14.0187,0.4254,7.3106,78.313,Yes,17.02
2009-05-12,2396963.98,139.6964,5.2717,14.0011,0.4219,7.2945,74.2688,Yes,17.02
2009-05-13,2379313.67,137.9314,5.2268,14.0187,0.4242,7.2913,72.6931,Yes,17.01
2009-05-14,2387699.12,138.7699,5.2494,14.0238,0.4234,7.2966,74.017,Yes,17.01
2009-05-15,2384934.4,138.4934,5.2431,14.0238,0.421,7.2963,73.798,Yes,17.01
2009-05-18,2378557.8,137.8558,5.2292,14.0035,0.4214,7.2944,72.904,Yes,17.0
2009-05-19,2379823.68,137.9824,5.2333,14.0011,0.4231,7.2873,71.1074,Yes,17.0
2009-05-20,2379891.19,137.9891,5.2344,14.0187,0.4237,7.2959,72.7631,Yes,16.99
2009-05-21,2394567.41,139.4567,5.2733,13.6456,0.4272,7.2856,76.7118,Yes,16.99
2009-05-22,2391308.16,139.1308,5.2657,13.6323,0.4256,7.2885,77.3136,Yes,16.99
2009-05-25,2387208.33,138.7208,5.2577,13.6323,0.4291,7.286,76.5381,Yes,16.98
2009-05-26,2396801.46,139.6801,5.2835,13.6323,0.4259,7.2939,78.677,Yes,16.98
2009-05-27,2387870.54,138.7871,5.2612,13.6456,0.4125,7.273,76.0906,Yes,16.98
2009-06-01,2343628.97,134.3629,5.1495,13.6876,0.4144,7.2597,70.0144,Yes,16.96
2009-06-02,2352514.67,135.2515,5.1739,13.6323,0.4066,7.2469,69.6134,Yes,16.96
2009-06-03,2324992.75,132.4993,5.1017,13.6876,0.4097,7.2398,65.3268,Yes,16.96
2009-06-04,2335932.1,133.5932,5.1317,13.6456,0.4098,7.2307,64.5228,Yes,16.95
2009-06-05,2330847.75,133.0848,5.119,13.6323,0.4136,7.2328,65.3313,Yes,16.95
2009-06-08,2334556.75,133.4557,5.1314,13.9892,0.4092,7.2565,64.817,Yes,16.94
2009-06-09,2332907.89,133.2908,5.1279,14.0035,0.4066,7.2557,64.1446,Yes,16.94
2009-06-10,2325265.67,132.5266,5.1084,14.0035,0.4094,7.2508,62.5502,Yes,16.94
2009-06-11,2331190.13,133.119,5.125,14.0035,0.4137,7.2555,64.0851,Yes,16.93
2009-06-12,2342821.98,134.2822,5.1568,14.0578,0.4124,7.2736,67.2097,Yes,16.93
2009-06-15,2345907.41,134.5907,5.1675,14.0011,0.4147,7.2558,63.8327,Yes,16.92
2009-06-16,2344882.29,134.4882,5.1657,14.0011,0.4101,7.2562,64.1078,Yes,16.92
2009-06-17,2332732.98,133.2733,5.1343,14.0011,0.4073,7.2475,61.4167,Yes,16.92
2009-06-18,2327313.55,132.7314,5.1207,13.8739,0.4098,7.2262,58.9438,Yes,16.92
2009-06-19,2328639.95,132.864,5.125,13.8739,0.4106,7.2245,57.7789,Yes,16.91
2009-06-22,2328261.77,132.8262,5.1266,13.8739,0.4142,7.2243,57.6478,Yes,16.9
2009-06-23,2335668.38,133.5668,5.1472,14.0005,0.4086,7.2256,57.5797,Yes,16.9
2009-06-24,2317614.34,131.7614,5.0998,14.1142,0.4053,7.2343,55.7198,Yes,16.9
2009-06-25,2320342.06,132.0342,5.1079,13.8739,0.4062,7.2196,55.86,Yes,16.9
2009-06-26,2312464.62,131.2465,5.0876,13.8739,0.4037,7.2176,55.3369,Yes,16.89
2009-06-29,2301572.79,130.1573,5.0608,14.0849,0.4012,7.225,52.8187,Yes,16.88
2009-06-30,2305239.67,130.524,5.0715,13.8739,0.402,7.2135,53.4702,Yes,16.88
2009-07-01,2299639.92,129.964,5.0573,14.0005,0.3976,7.2073,50.0846,Yes,16.88
2009-07-02,2286903.6,128.6904,5.0235,14.0005,0.3959,7.2016,48.0518,Yes,16.88
2009-07-03,2280608.86,128.0609,5.0072,14.0867,0.3944,7.2025,46.0594,Yes,16.87
2009-07-06,2279164.2,127.9164,5.0058,14.121,0.3978,7.2014,43.9985,Yes,16.87
2009-07-07,2284828.01,128.4828,5.0221,14.121,0.397,7.2064,45.4753,Yes,16.86
2009-07-08,2284210.62,128.4211,5.0212,14.121,0.3964,7.2061,44.9643,Yes,16.86
2009-07-09,2318592.02,131.8592,5.1152,13.2936,0.4094,7.2345,43.0847,Yes,16.86
2009-07-10,2330080.4,133.008,5.1468,12.772,0.415,7.2608,43.0003,Yes,16.85
2009-07-13,2327522.21,132.7522,5.1426,13.2936,0.4043,7.2361,44.5872,Yes,16.85
2009-07-14,2304613.21,130.4613,5.0817,13.2936,0.4006,7.2253,40.664,Yes,16.84
2009-07-15,2292360.79,129.2361,5.0493,13.2936,0.3988,7.2212,39.1116,Yes,16.84
2009-07-16,2286564.04,128.6564,5.0343,13.2936,0.3975,7.2206,38.7963,Yes,16.84
2009-07-17,2283740.92,128.3741,5.0275,13.2936,0.3913,7.2173,38.0641,Yes,16.84
2009-07-20,2234630.56,123.4631,4.8944,14.121,0.384,7.1765,35.3224,Yes,16.83
2009-07-21,2240123.46,124.0123,4.9105,14.121,0.379,7.1814,37.2832,Yes,16.82
2009-07-22,2231052.12,123.1052,4.886,14.121,0.3762,7.1747,34.7296,Yes,16.82
2009-07-23,2221146.42,122.1146,4.8591,14.121,0.3769,7.1705,33.0678,Yes,16.82
2009-07-24,2253278.44,125.3278,4.9495,13.2936,0.3813,7.2023,32.5022,Yes,16.82
2009-07-27,2197591.25,119.7591,4.7958,15.2574,0.3624,7.3003,29.8098,Yes,16.81
2009-07-28,2197089.55,119.709,4.7952,15.1968,0.3796,7.2767,29.3884,Yes,16.81
2009-07-29,2279118.05,127.9118,5.0249,13.2936,0.3942,7.1995,36.5627,Yes,16.8
2009-07-30,2281723.55,128.1724,5.0329,12.772,0.3913,7.2184,33.6956,Yes,16.8
2009-07-31,2211429.09,121.1429,4.8382,15.1968,0.363,7.2763,30.1228,Yes,16.8
2009-08-03,2194151.25,119.4151,4.7917,15.1968,0.3629,7.2722,28.3219,Yes,16.79
2009-08-04,2193201.97,119.3202,4.7898,15.1968,0.3638,7.273,28.3361,Yes,16.79
2009-08-05,2192732.63,119.2733,4.7892,15.2574,0.3667,7.2838,29.9031,Yes,16.78
2009-08-06,2211197.98,121.1198,4.8424,14.0867,0.3831,7.1451,32.6627,Yes,16.78
2009-08-07,2230757.26,123.0757,4.8983,14.0005,0.3846,7.1514,36.6938,Yes,16.78
2009-08-10,2234706.29,123.4706,4.9118,14.0005,0.3855,7.1538,37.1008,Yes,16.77
