entry_date,final_value,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe_ratio,annual_volatility_pct,benchmark_return_pct,outperform_benchmark,holding_years
2009-01-05,3241240.44,224.124,7.0068,16.3668,0.5963,8.1827,322.5405,No,17.36
2009-01-06,3255239.09,225.5239,7.0345,16.3668,0.5945,8.2176,308.0681,No,17.36
2009-01-07,3236509.35,223.6509,7.0001,16.3668,0.6022,8.2137,305.5421,No,17.36
2009-01-08,3174268.02,217.4268,6.8816,16.3668,0.5769,8.1629,315.9404,No,17.36
2009-01-09,3237439.02,223.7439,7.0042,16.3668,0.594,8.2121,304.9949,No,17.35
2009-01-12,3226478.4,222.6478,6.9867,16.3668,0.6053,8.2017,299.2974,No,17.35
2009-01-13,3282098.35,228.2098,7.0933,16.3668,0.598,8.2019,310.0715,No,17.34
2009-01-14,3134442.0,213.4442,6.8105,16.3668,0.5807,8.105,295.1894,No,17.34
2009-01-15,3145702.11,214.5702,6.8337,16.3668,0.5779,8.0991,291.3849,No,17.34
2009-01-16,3126170.91,212.6171,6.7965,16.3668,0.5743,8.0981,288.7872,No,17.33
2009-01-19,3110253.33,211.0253,6.7683,16.3668,0.5745,8.1045,289.2884,No,17.33
2009-01-20,3115600.06,211.56,6.78,16.3668,0.5707,8.0973,285.416,No,17.32
2009-01-21,3091087.98,209.1088,6.7325,16.3668,0.5667,8.0969,284.9316,No,17.32
2009-01-22,3076807.39,207.6807,6.705,16.3668,0.5681,8.0864,278.3225,No,17.32
2009-01-23,3079594.39,207.9594,6.7117,16.3668,0.5525,8.0786,281.4134,No,17.32
2009-02-02,3010879.2,201.0879,6.5835,16.3668,0.549,8.0661,270.0563,No,17.29
2009-02-03,3081010.79,208.1011,6.7266,16.3668,0.5641,8.1068,260.2359,No,17.28
2009-02-04,3069348.45,206.9348,6.7043,16.3668,0.5677,8.0868,252.1758,No,17.28
2009-02-05,3072508.83,207.2509,6.7118,16.3668,0.5568,8.0999,257.9534,No,17.28
2009-02-06,3030580.73,203.0581,6.628,16.3668,0.5537,8.0735,242.3109,No,17.28
2009-02-09,3006168.88,200.6169,6.5814,16.3668,0.5513,8.0377,230.9651,No,17.27
2009-02-10,2993582.32,199.3582,6.5565,16.3668,0.5484,8.0261,221.7361,No,17.27
2009-02-11,2979198.72,197.9199,6.5279,16.3668,0.54,8.0214,221.1506,No,17.26
2009-02-12,2941123.63,194.1124,6.4496,16.3668,0.5327,8.0156,215.236,No,17.26
2009-02-13,2849771.75,184.9772,6.2562,16.3668,0.5179,7.9355,204.3249,No,17.26
2009-02-16,2838999.46,183.8999,6.2359,16.3668,0.5197,7.9568,199.0545,No,17.25
2009-02-17,2848876.65,184.8877,6.2584,16.3668,0.5245,7.9586,211.7069,No,17.25
2009-02-18,2935965.06,193.5965,6.4451,16.3668,0.5344,8.0276,224.2173,No,17.24
2009-02-19,2918569.6,191.857,6.4095,16.3668,0.5287,8.0113,217.6327,No,17.24
2009-02-20,2823869.02,182.3869,6.2071,16.3668,0.5058,7.9482,207.3994,No,17.24
