entry_date,final_value,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe_ratio,annual_volatility_pct,benchmark_return_pct,outperform_benchmark,holding_years
2010-06-01,3052522.99,205.2523,7.2443,17.4525,0.5795,8.8764,314.94,No,15.96
2010-06-02,3034847.46,203.4847,7.2066,17.4525,0.58,8.8658,305.0001,No,15.95
2010-06-03,3034420.47,203.442,7.2069,17.4525,0.5781,8.8694,304.4829,No,15.95
2010-06-04,3024644.74,202.4645,7.1865,17.4525,0.5709,8.8314,292.9559,No,15.95
2010-06-07,2989697.88,198.9698,7.1122,17.4525,0.5695,8.8192,277.602,No,15.94
2010-06-08,2971999.39,197.1999,7.0736,17.4525,0.5676,8.8211,278.4208,No,15.94
2010-06-09,2971700.16,197.17,7.0742,17.4525,0.5627,8.8168,274.675,No,15.93
2010-06-10,2943693.86,194.3694,7.0118,17.4525,0.5629,8.8075,261.3792,No,15.93
2010-06-11,2947726.56,194.7727,7.0223,17.4525,0.5713,8.8036,259.8589,No,15.93
2010-06-17,2977882.84,197.7883,7.0983,17.4525,0.5808,8.8134,279.2435,No,15.91
2010-06-18,3043716.03,204.3716,7.2468,17.4525,0.5723,8.9186,303.7215,No,15.91
2010-06-21,3013308.21,201.3308,7.183,17.4525,0.5803,8.9025,288.002,No,15.9
2010-06-22,3001581.35,200.1581,7.158,17.4525,0.5735,8.8375,290.179,No,15.9
2010-06-23,2984874.03,198.4874,7.1217,17.4525,0.5739,8.8151,285.581,No,15.9
2010-06-24,2987729.07,198.7729,7.1294,17.4525,0.5792,8.8139,284.3831,No,15.89
2010-06-25,3008000.59,200.8001,7.1762,17.4525,0.5819,8.8468,297.363,No,15.89
2010-06-28,3051312.54,205.1313,7.2766,17.4525,0.6029,8.8992,308.8097,No,15.88
2010-06-29,3137869.71,213.787,7.467,17.4525,0.6043,8.903,342.165,No,15.88
2010-06-30,3117404.71,211.7405,7.4241,17.4525,0.6078,8.9443,339.2768,No,15.88
2010-07-01,3157038.95,215.7039,7.511,17.4525,0.6182,8.9097,357.7623,No,15.87
2010-07-02,3191761.23,219.1761,7.5864,17.4525,0.6202,8.9198,362.5175,No,15.87
2010-07-05,3198740.59,219.8741,7.6053,17.4525,0.6145,8.9247,368.3385,No,15.86
2010-07-06,3125995.54,212.5996,7.4507,17.4525,0.6066,8.8637,351.8576,No,15.86
2010-07-07,3122386.31,212.2386,7.4442,17.4525,0.606,8.8362,344.4816,No,15.86
2010-07-08,3116347.13,211.6347,7.4324,17.4525,0.6012,8.8608,345.9738,No,15.85
2010-07-09,3097021.53,209.7022,7.3916,17.4525,0.6018,8.8298,333.2292,No,15.85
2010-07-12,3095901.37,209.5901,7.3931,17.4525,0.6028,8.8517,334.1486,No,15.84
2010-07-13,3098135.92,209.8136,7.3994,17.4525,0.6027,8.8323,333.7257,No,15.84
2010-07-14,3097999.78,209.8,7.4004,17.4525,0.6088,8.8566,337.8252,No,15.84
2010-07-15,3122983.86,212.2984,7.4562,17.4525,0.6083,8.8677,352.4454,No,15.84
2010-07-16,3125903.5,212.5904,7.4639,17.4525,0.6072,8.8688,352.5767,No,15.83
2010-07-19,3118074.97,211.8075,7.4509,17.4525,0.6037,8.8398,344.7263,No,15.82
2010-07-20,3102523.32,210.2523,7.4183,17.4525,0.6041,8.8316,330.9776,No,15.82
2010-07-21,3095769.77,209.577,7.4048,17.4525,0.6031,8.8315,329.0394,No,15.82
2010-07-22,3093506.99,209.3507,7.4012,17.4525,0.6,8.829,324.9942,No,15.82
2010-07-23,3075474.3,207.5474,7.3628,17.4525,0.5991,8.8271,320.4022,No,15.81
2010-07-26,3072938.85,207.2939,7.3611,17.4525,0.6024,8.8261,317.9803,No,15.81
2010-07-27,3084871.48,208.4871,7.3888,17.4525,0.6028,8.8296,321.5524,No,15.8
2010-07-28,3080209.62,208.021,7.3799,17.4525,0.6005,8.827,315.2382,No,15.8
2010-07-29,3074221.72,207.4222,7.368,17.4525,0.602,8.8272,314.0343,No,15.8
2010-07-30,3079593.63,207.9594,7.3811,17.4525,0.5947,8.8269,316.9975,No,15.79
2010-08-02,3049576.5,204.9576,7.3185,17.4525,0.5991,8.82,306.1778,No,15.79
2010-08-03,3062592.8,206.2593,7.3488,17.4525,0.5961,8.8259,313.9142,No,15.78
2010-08-04,3062389.25,206.2389,7.3497,17.4525,0.5969,8.8258,312.9116,No,15.78
2010-08-05,3045193.16,204.5193,7.3127,17.4525,0.5892,8.823,309.0068,No,15.78
2010-08-06,3024257.7,202.4258,7.2671,17.4525,0.5851,8.8163,299.2854,No,15.78
2010-08-09,3005029.5,200.5029,7.2276,17.4525,0.5951,8.8069,291.1828,No,15.77
2010-08-10,3038238.31,203.8238,7.3037,17.4525,0.5917,8.8172,306.2742,No,15.76
2010-08-11,3029787.35,202.9787,7.2861,17.4525,0.5943,8.8153,301.9694,No,15.76
2010-08-12,3047541.85,204.7542,7.3272,17.4525,0.5911,8.8173,307.1816,No,15.76
2010-08-13,3023150.97,202.3151,7.2737,17.4525,0.5864,8.8132,300.9441,No,15.76
2010-08-16,3006396.71,200.6397,7.2398,17.4525,0.5866,8.8088,291.9886,No,15.75
2010-08-17,3003094.53,200.3095,7.2336,17.4525,0.5883,8.809,290.7128,No,15.75
2010-08-18,3007912.15,200.7912,7.2459,17.4525,0.5873,8.8118,293.3229,No,15.74
2010-08-19,3003152.82,200.3153,7.2364,17.4525,0.5928,8.811,293.7816,No,15.74
2010-08-20,3021774.94,202.1775,7.2798,17.4525,0.5918,8.8194,305.4779,No,15.74
2010-08-23,3022512.06,202.2512,7.2854,17.4525,0.5914,8.8206,305.6127,No,15.73
2010-08-24,3023053.42,202.3053,7.288,17.4525,0.5956,8.8187,301.8302,No,15.73
2010-08-25,3037511.98,203.7512,7.3218,17.4525,0.5928,8.8502,313.3917,No,15.72
2010-08-26,3030137.39,203.0137,7.3066,17.4525,0.5898,8.8498,311.8101,No,15.72
2010-08-27,3019513.52,201.9514,7.2839,17.4525,0.586,8.8417,304.0531,No,15.72
2010-08-30,2997263.48,199.7263,7.2374,17.4525,0.5869,8.8166,294.0114,No,15.71
2010-08-31,2997221.45,199.7221,7.2386,17.4525,0.59,8.817,293.7647,No,15.71
2010-09-01,3037164.26,203.7164,7.3303,17.4525,0.5886,8.9178,305.6237,No,15.7
2010-09-02,3001364.48,200.1364,7.2506,17.4525,0.5827,8.8434,297.8959,No,15.7
2010-09-03,2986496.28,198.6496,7.218,17.4525,0.5889,8.8378,289.5362,No,15.7
2010-09-06,3002978.84,200.2979,7.2595,17.4525,0.5857,8.8446,299.5327,No,15.69
2010-09-07,2996292.48,199.6292,7.2456,17.4525,0.5843,8.8429,294.8999,No,15.69
2010-09-08,2986135.65,198.6136,7.2237,17.4525,0.586,8.8427,293.4743,No,15.68
2010-09-09,2993993.15,199.3993,7.243,17.4525,0.5851,8.845,295.2052,No,15.68
2010-09-10,2984310.7,198.4311,7.2221,17.4525,0.584,8.8199,290.2001,No,15.68
2010-09-13,2979568.69,197.9569,7.2152,17.4525,0.5862,8.8192,287.3768,No,15.67
2010-09-14,2990348.76,199.0349,7.2412,17.4525,0.591,8.8415,291.6077,No,15.67
2010-09-15,3050081.55,205.0082,7.378,17.4525,0.5996,8.9355,307.87,No,15.67
2010-09-16,3060944.8,206.0945,7.4037,17.4525,0.5969,8.9425,315.2092,No,15.66
2010-09-17,3053195.99,205.3196,7.3877,17.4525,0.6005,8.9419,315.3685,No,15.66
2010-09-20,3062132.08,206.2132,7.4117,17.4525,0.6028,8.9494,325.4482,No,15.65
2010-09-21,3080624.36,208.0624,7.4544,17.4525,0.5974,8.9553,332.1564,No,15.65
2010-09-27,3054522.19,205.4522,7.4041,17.4525,0.6002,8.948,324.7876,No,15.63
2010-09-28,3069231.73,206.9232,7.4384,17.4525,0.6014,8.9536,328.6755,No,15.63
2010-09-29,3075679.91,207.568,7.4542,17.4525,0.6016,8.9065,335.7484,No,15.63
2010-09-30,3053055.46,205.3055,7.4048,17.4525,0.593,8.9524,328.4526,No,15.62
2010-10-08,3034160.11,203.416,7.3728,17.4525,0.5925,8.9462,320.7197,No,15.6
2010-10-11,3028721.59,202.8722,7.3645,17.4525,0.5916,8.9511,326.3848,No,15.59
2010-10-12,3028755.92,202.8756,7.3659,17.4525,0.5885,8.95,324.2882,No,15.59
2010-10-13,3015032.34,201.5032,7.336,17.4525,0.5869,8.9463,319.4633,No,15.59
2010-10-14,3001947.57,200.1948,7.3074,17.4525,0.5892,8.947,321.3202,No,15.59
2010-10-15,3019902.48,201.9902,7.3498,17.4525,0.5993,8.8948,327.6744,No,15.58
2010-10-18,3042981.16,204.2981,7.4063,17.4525,0.5869,8.8872,333.1307,No,15.58
2010-10-19,2990600.44,199.06,7.288,17.4525,0.5877,8.9256,305.4869,No,15.57
2010-10-20,3005873.28,200.5873,7.3244,17.4525,0.5917,8.9259,302.0074,No,15.57
2010-10-21,3012132.64,201.2133,7.3401,17.4525,0.5884,8.9306,307.1549,No,15.57
2010-10-22,2989718.3,198.9718,7.2899,17.4525,0.5772,8.9089,298.4746,No,15.56
2010-10-25,2955231.81,195.5232,7.2139,17.4525,0.5806,8.9005,288.6548,No,15.56
2010-10-26,2963253.12,196.3253,7.2339,17.4525,0.5826,8.903,289.7978,No,15.55
2010-10-27,2970147.4,197.0147,7.2513,17.4525,0.5812,8.9061,291.8456,No,15.55
2010-10-28,2967004.34,196.7004,7.2453,17.4525,0.5758,8.9029,288.8164,No,15.55
2010-10-29,2947287.13,194.7287,7.2006,17.4525,0.5671,8.8891,279.3565,No,15.55
2010-11-01,2883032.65,188.3033,7.0526,17.4525,0.5679,8.8865,264.6275,No,15.54
2010-11-02,2929423.62,192.9424,7.1639,17.4525,0.5816,8.881,275.6061,No,15.53
2010-11-03,2950718.83,195.0719,7.2152,17.4525,0.5756,8.8899,288.0695,No,15.53
2010-11-04,2938782.38,193.8782,7.1886,17.4525,0.5696,8.8832,281.7982,No,15.53
2010-11-05,2910199.19,191.0199,7.1224,17.4525,0.5639,8.8758,276.6332,No,15.53
2010-11-08,2864777.93,186.4778,7.0178,17.4525,0.5511,8.8763,264.7796,No,15.52
2010-11-09,2835510.01,183.551,6.9482,17.4525,0.5502,8.8723,261.972,No,15.52
2010-11-10,2827852.89,182.7853,6.9309,17.4525,0.551,8.8532,253.7488,No,15.51
2010-11-11,2832376.58,183.2377,6.9432,17.4525,0.5643,8.8499,256.5158,No,15.51
2010-11-12,2905656.85,190.5657,7.1207,17.4525,0.5626,8.8611,273.1458,No,15.51
2010-11-15,2851231.37,185.1231,6.994,17.4525,0.5623,8.8439,251.6061,No,15.5
2010-11-16,2864335.25,186.4335,7.027,17.4525,0.5725,8.8414,258.5884,No,15.5
2010-11-17,2911066.27,191.1066,7.1401,17.4525,0.5666,8.8674,272.0769,No,15.49
2010-11-18,2889608.73,188.9609,7.0903,17.4525,0.5585,8.8581,266.1741,No,15.49
2010-11-19,2846697.03,184.6697,6.9881,17.4525,0.5549,8.8193,250.1938,No,15.49
2010-11-22,2838043.35,183.8043,6.9709,17.4525,0.5533,8.8474,243.7061,No,15.48
2010-11-23,2832497.11,183.2497,6.9587,17.4525,0.5476,8.8449,241.2189,No,15.48
2010-11-24,2812759.46,181.2759,6.9117,17.4525,0.554,8.8281,234.1746,No,15.47
2010-11-25,2824059.85,182.406,6.9406,17.4525,0.552,8.845,240.3975,No,15.47
2010-11-26,2827344.36,182.7344,6.9499,17.4525,0.5503,8.8319,237.6479,No,15.47
2010-11-29,2804459.2,180.4459,6.8975,17.4525,0.5533,8.8258,230.9811,No,15.46
2010-11-30,2828776.56,182.8777,6.9585,17.4525,0.5498,8.8457,241.796,No,15.46
2010-12-01,2807881.73,180.7882,6.9085,17.4525,0.5494,8.8141,243.0529,No,15.45
2010-12-02,2804748.58,180.4749,6.9021,17.4525,0.5536,8.8137,242.8592,No,15.45
