entry_date,final_value,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe_ratio,annual_volatility_pct,benchmark_return_pct,outperform_benchmark,holding_years
2009-01-05,3074534.64,207.4535,6.6819,12.1978,0.6339,7.0795,340.9511,No,17.36
2009-01-06,3067858.59,206.7859,6.6696,12.302,0.631,7.061,328.3983,No,17.36
2009-01-07,3059279.72,205.928,6.6535,12.302,0.6396,7.0607,329.9052,No,17.36
2009-01-08,3086612.03,208.6612,6.7093,12.302,0.6313,7.074,339.8376,No,17.36
2009-01-09,3063233.42,206.3233,6.6636,12.302,0.6324,7.0601,330.5746,No,17.35
2009-01-12,3058231.37,205.8231,6.6568,12.302,0.645,7.0457,326.526,No,17.35
2009-01-13,3104700.19,210.47,6.7507,12.302,0.6367,7.0513,335.1266,No,17.34
2009-01-14,3061323.3,206.1323,6.6652,12.48,0.6383,7.0345,321.098,No,17.34
2009-01-15,3059969.87,205.997,6.6636,12.8535,0.6281,7.0461,318.9082,No,17.34
2009-01-16,3035327.34,203.5327,6.6149,12.8535,0.6229,7.043,313.7203,No,17.33
2009-01-19,3017779.87,201.778,6.5825,12.8535,0.6243,7.043,312.5315,No,17.33
2009-01-20,3021653.86,202.1654,6.5915,12.8535,0.6205,7.0388,309.2593,No,17.32
2009-01-21,3007110.37,200.711,6.5629,12.8535,0.6185,7.0432,311.8501,No,17.32
2009-01-22,2997596.6,199.7597,6.5444,12.8535,0.6183,7.0423,308.2663,No,17.32
2009-01-23,2999819.11,199.9819,6.5501,12.8535,0.6033,7.0278,310.6105,No,17.32
2009-02-02,2941003.84,194.1004,6.4388,12.8535,0.5985,7.0238,302.213,No,17.29
2009-02-03,2922952.08,192.2952,6.4019,12.8535,0.5942,7.0004,290.4722,No,17.28
2009-02-04,2909928.22,190.9928,6.3755,12.5003,0.6017,6.9474,278.6382,No,17.28
2009-02-05,2905043.33,190.5043,6.3662,12.8535,0.5864,6.9838,284.0325,No,17.28
2009-02-06,2879307.54,187.9308,6.3125,12.5003,0.5892,6.9259,269.1057,No,17.28
2009-02-09,2858089.37,185.8089,6.27,12.8535,0.5845,6.9466,258.1979,No,17.27
2009-02-10,2950946.82,195.0947,6.468,11.1444,0.5927,7.1632,251.7335,No,17.27
2009-02-11,2935838.99,193.5839,6.4375,11.0766,0.5901,7.1229,250.181,No,17.26
2009-02-12,2813795.94,181.3796,6.177,12.8535,0.5651,6.9368,250.2959,No,17.26
2009-02-13,2786130.77,178.6131,6.1172,12.0538,0.5487,7.1002,237.64,No,17.26
2009-02-16,2768508.05,176.8508,6.0812,12.0538,0.5537,7.078,228.5984,No,17.25
2009-02-17,2870763.12,187.0763,6.3055,11.0766,0.5883,7.0999,242.8851,No,17.25
2009-02-18,2815837.92,181.5838,6.1875,12.4809,0.5718,6.9179,261.9,No,17.24
2009-02-19,2800019.91,180.002,6.1539,12.8535,0.5648,6.9327,254.7377,No,17.24
2009-02-20,2775032.49,177.5032,6.0997,12.8535,0.5553,6.9248,245.795,No,17.24
2009-02-23,2762004.56,176.2005,6.0737,11.6575,0.5556,7.0748,235.8586,No,17.23
2009-02-24,2769254.39,176.9254,6.0908,12.8535,0.5707,6.9203,246.2326,No,17.23
2009-02-25,2792800.04,179.28,6.144,12.8535,0.587,6.9078,247.4452,No,17.22
2009-02-26,2853162.7,185.3163,6.2769,12.5003,0.6015,6.8979,271.4508,No,17.22
2009-02-27,2877372.32,187.7372,6.3301,12.9067,0.5873,6.9617,286.7533,No,17.22
2009-03-02,2858761.52,185.8762,6.2931,12.8535,0.5949,6.9471,280.7814,No,17.21
2009-03-03,2877653.25,187.7653,6.3348,12.8535,0.5864,6.9332,280.6883,No,17.21
2009-03-04,2850077.22,185.0077,6.2764,12.8535,0.5872,6.9022,259.8226,No,17.21
