entry_date,final_value,total_return_pct,annual_return_pct,max_drawdown_pct,sharpe_ratio,annual_volatility_pct,benchmark_return_pct,outperform_benchmark,holding_years,rebalance_count
2003-01-06,43247067.66,332.4707,6.4508,18.6275,0.5753,7.8336,664.2097,No,23.42,11
2003-01-07,43489965.29,334.8997,6.4771,18.6275,0.5752,7.8371,669.2268,No,23.42,11
2003-01-08,43214129.77,332.1413,6.4489,18.0884,0.577,7.7694,681.7526,No,23.42,11
2003-01-09,43265786.85,332.6579,6.4551,18.0884,0.5772,7.7708,683.5805,No,23.42,11
2003-01-10,43273742.43,332.7374,6.4567,18.0884,0.577,7.7721,686.1225,No,23.41,11
2003-01-14,43559026.62,335.5903,6.4898,18.5325,0.576,7.8482,678.5298,No,23.4,11
2003-01-15,43502963.23,335.0296,6.4847,18.5325,0.5731,7.8469,673.224,No,23.4,11
2003-01-16,43277102.12,332.771,6.4618,18.5325,0.5723,7.846,673.4557,No,23.4,11
2003-01-17,43177664.0,331.7766,6.4521,18.5325,0.5715,7.8446,666.2394,No,23.39,11
2003-01-21,43063754.68,330.6375,6.4432,18.6275,0.5718,7.838,664.6266,No,23.38,11
2003-01-22,43207969.6,332.0797,6.4592,18.5325,0.5678,7.8455,673.2877,No,23.38,11
2003-01-23,42698644.7,326.9864,6.406,18.6275,0.5662,7.8334,657.4647,No,23.38,11
2003-01-24,42744000.89,327.44,6.4116,18.5325,0.5686,7.8413,662.6063,No,23.38,11
2003-01-27,42586123.38,325.8612,6.3971,18.0884,0.5708,7.7679,673.4288,No,23.37,11
2003-01-28,42985777.5,329.8578,6.4404,18.2352,0.5794,7.7791,681.0566,No,23.36,11
2003-01-29,43430848.97,334.3085,6.4881,18.4817,0.5746,7.8655,699.2735,No,23.36,11
2003-01-30,43385499.82,333.855,6.4841,18.4817,0.5745,7.8663,700.645,No,23.36,11
2003-01-31,43353763.92,333.5376,6.4816,18.4817,0.5708,7.8652,698.4244,No,23.36,11
2003-02-03,43000667.94,330.0067,6.4466,18.2352,0.5723,7.7807,683.3168,No,23.35,11
2003-02-04,42794452.8,327.9445,6.4255,18.4817,0.5675,7.8597,684.7837,No,23.35,11
2003-02-05,42756577.7,327.5658,6.4222,18.2352,0.576,7.7784,678.8221,No,23.34,11
