组别,入场点数,平均累计收益%,中位数累计收益%,最好收益%,最差收益%,标准差%,收益区间%,平均年化%,中位数年化%,最好年化%,最差年化%,平均最大回撤%,中位数回撤%,平均夏普,中位数夏普,平均年化波动%,跑赢基准%,平均基准收益%,最佳入场日,最差入场日
纳指100,4856,174.86,159.28,444.97,21.23,115.52,423.74,10.2,8.91,30.76,7.3,20.47,22.76,0.8028,0.723,9.38,0.0,741.69,2006-06-14,2025-06-04
标普500,5646,168.81,131.95,475.41,14.62,120.26,460.8,8.38,7.52,21.09,6.33,15.39,16.65,0.7615,0.6909,7.54,0.0,469.76,2003-04-07,2025-06-04
创业板指,3608,111.99,106.27,219.87,32.87,52.41,187.01,10.95,8.64,37.33,5.89,11.96,9.9,0.9068,0.7466,9.18,26.5,164.36,2010-07-05,2025-04-03
中证500,3952,86.65,78.47,228.21,19.43,37.5,208.78,8.43,6.74,23.94,4.69,12.25,9.7,0.7492,0.6071,7.94,68.8,72.81,2009-01-13,2025-04-22
红利低波,3952,80.87,72.87,210.47,8.18,40.38,202.29,7.2,6.51,13.83,4.98,9.23,7.65,0.724,0.6664,6.74,70.9,74.13,2009-01-13,2025-04-22
中证2000,3832,77.07,85.0,189.48,3.55,46.6,185.94,6.19,6.29,11.91,2.77,11.33,10.79,0.5272,0.5325,7.66,76.3,49.79,2009-08-19,2025-04-22
沪深300,3952,76.72,75.45,177.48,13.59,33.59,163.89,7.39,6.37,20.1,4.55,10.73,9.92,0.6958,0.6194,7.18,87.0,47.7,2009-01-13,2025-04-22
中证红利,3952,75.68,71.04,181.29,7.8,35.27,173.49,6.96,6.4,14.18,4.62,10.21,7.81,0.6771,0.6403,6.88,79.4,58.13,2009-01-13,2025-04-22
上证50,3952,70.63,70.35,162.73,9.32,32.12,153.42,6.78,5.94,16.13,4.35,11.19,10.31,0.6335,0.5685,7.03,99.3,29.96,2009-01-13,2025-04-22
中证1000,2554,58.4,60.52,104.0,17.97,16.89,86.03,9.3,8.01,24.06,4.1,11.18,9.83,0.8004,0.7253,8.44,80.0,32.56,2014-11-14,2025-04-22
科创50,1282,54.09,55.09,76.51,25.0,7.68,51.51,15.16,13.34,33.16,6.68,10.81,10.42,1.1747,1.1442,10.32,42.4,67.79,2020-03-23,2025-04-22
