entry_date,end_date,holding_days,total_return_pct,annualized_return_pct
2010-06-01,2011-06-20,252,1.415,1.415
2010-06-02,2011-06-21,252,1.1078,1.1078
2010-06-03,2011-06-22,252,0.9173,0.9173
2010-06-04,2011-06-23,252,1.3892,1.3892
2010-06-07,2011-06-24,252,0.3023,0.3023
2010-06-08,2011-06-27,252,-0.4268,-0.4268
2010-06-09,2011-06-28,252,-0.3932,-0.3932
2010-06-10,2011-06-29,252,-1.0138,-1.0138
2010-06-11,2011-06-30,252,-0.6288,-0.6288
2010-06-17,2011-07-01,252,0.0602,0.0602
2010-06-18,2011-07-04,252,1.6343,1.6343
2010-06-21,2011-07-05,252,0.5782,0.5782
2010-06-22,2011-07-06,252,2.0444,2.0444
2010-06-23,2011-07-07,252,2.1063,2.1063
2010-06-24,2011-07-08,252,2.0343,2.0343
2010-06-25,2011-07-11,252,2.967,2.967
2010-06-28,2011-07-12,252,3.1176,3.1176
2010-06-29,2011-07-13,252,6.4394,6.4394
2010-06-30,2011-07-14,252,6.9285,6.9285
2010-07-01,2011-07-15,252,8.511,8.511
2010-07-02,2011-07-18,252,9.9466,9.9466
2010-07-05,2011-07-19,252,9.7598,9.7598
2010-07-06,2011-07-20,252,8.7281,8.7281
2010-07-07,2011-07-21,252,8.5906,8.5906
2010-07-08,2011-07-22,252,8.1455,8.1455
2010-07-09,2011-07-25,252,7.2063,7.2063
2010-07-12,2011-07-26,252,7.1016,7.1016
2010-07-13,2011-07-27,252,8.0679,8.0679
2010-07-14,2011-07-28,252,7.8564,7.8564
2010-07-15,2011-07-29,252,8.5529,8.5529
2010-07-16,2011-08-01,252,8.9494,8.9494
2010-07-19,2011-08-02,252,9.1592,9.1592
2010-07-20,2011-08-03,252,9.8423,9.8423
2010-07-21,2011-08-04,252,9.4295,9.4295
2010-07-22,2011-08-05,252,8.6971,8.6971
2010-07-23,2011-08-08,252,7.9958,7.9958
2010-07-26,2011-08-09,252,8.7074,8.7074
2010-07-27,2011-08-10,252,9.3973,9.3973
2010-07-28,2011-08-11,252,10.7971,10.7971
2010-07-29,2011-08-12,252,10.4334,10.4334
2010-07-30,2011-08-15,252,10.7874,10.7874
2010-08-02,2011-08-16,252,10.0687,10.0687
2010-08-03,2011-08-17,252,10.9091,10.9091
2010-08-04,2011-08-18,252,10.0728,10.0728
2010-08-05,2011-08-19,252,10.9642,10.9642
