entry_date,end_date,holding_days,total_return_pct,annualized_return_pct
2009-01-05,2010-01-15,252,31.9882,31.9882
2009-01-06,2010-01-18,252,32.536,32.536
2009-01-07,2010-01-19,252,32.1305,32.1305
2009-01-08,2010-01-20,252,32.3121,32.3121
2009-01-09,2010-01-21,252,30.8294,30.8294
2009-01-12,2010-01-22,252,28.9469,28.9469
2009-01-13,2010-01-25,252,30.7473,30.7473
2009-01-14,2010-01-26,252,28.1226,28.1226
2009-01-15,2010-01-27,252,28.6785,28.6785
2009-01-16,2010-01-28,252,27.7634,27.7634
2009-01-19,2010-01-29,252,26.9346,26.9346
2009-01-20,2010-02-01,252,26.8695,26.8695
2009-01-21,2010-02-02,252,26.6953,26.6953
2009-01-22,2010-02-03,252,27.011,27.011
2009-01-23,2010-02-04,252,26.8433,26.8433
2009-02-02,2010-02-05,252,22.3578,22.3578
2009-02-03,2010-02-08,252,21.7541,21.7541
2009-02-04,2010-02-09,252,21.4356,21.4356
2009-02-05,2010-02-10,252,22.1593,22.1593
2009-02-06,2010-02-11,252,20.7238,20.7238
2009-02-09,2010-02-12,252,20.6636,20.6636
2009-02-10,2010-02-22,252,20.7422,20.7422
2009-02-11,2010-02-23,252,20.0605,20.0605
2009-02-12,2010-02-24,252,19.999,19.999
2009-02-13,2010-02-25,252,18.3539,18.3539
2009-02-16,2010-02-26,252,17.9184,17.9184
2009-02-17,2010-03-01,252,19.293,19.293
2009-02-18,2010-03-02,252,20.7241,20.7241
2009-02-19,2010-03-03,252,21.0987,21.0987
2009-02-20,2010-03-04,252,19.0569,19.0569
2009-02-23,2010-03-05,252,17.3777,17.3777
2009-02-24,2010-03-08,252,19.1616,19.1616
2009-02-25,2010-03-09,252,19.6166,19.6166
2009-02-26,2010-03-10,252,21.7412,21.7412
2009-02-27,2010-03-11,252,22.6919,22.6919
2009-03-02,2010-03-12,252,21.3442,21.3442
2009-03-03,2010-03-15,252,21.5039,21.5039
2009-03-04,2010-03-16,252,20.7613,20.7613
2009-03-05,2010-03-17,252,21.4082,21.4082
2009-03-06,2010-03-18,252,20.6272,20.6272
2009-03-09,2010-03-19,252,22.2295,22.2295
2009-03-10,2010-03-22,252,21.8772,21.8772
2009-03-11,2010-03-23,252,22.2753,22.2753
2009-03-12,2010-03-24,252,21.9018,21.9018
2009-03-13,2010-03-25,252,21.6182,21.6182
2009-03-16,2010-03-26,252,21.7988,21.7988
2009-03-17,2010-03-29,252,21.8617,21.8617
2009-03-18,2010-03-30,252,21.5652,21.5652
2009-03-19,2010-03-31,252,19.5217,19.5217
2009-03-20,2010-04-01,252,19.6679,19.6679
2009-03-23,2010-04-02,252,19.0396,19.0396
2009-03-24,2010-04-06,252,19.6143,19.6143
2009-03-25,2010-04-07,252,21.2418,21.2418
2009-03-26,2010-04-08,252,19.8802,19.8802
2009-03-27,2010-04-09,252,20.3424,20.3424
2009-03-30,2010-04-12,252,21.1773,21.1773
2009-03-31,2010-04-13,252,21.24,21.24
2009-04-01,2010-04-14,252,21.1215,21.1215
