age,years,p5,p25,p50,p75,p95,total_in,gain_p50,hit_10m_pct,portfolio_ratio
26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
27,1,23308.11,24107.31,24680.80,25264.07,26121.16,24000.00,680.80,0.00,1.03
28,2,52669.07,55077.52,56809.06,58615.76,61296.28,54000.00,2809.06,0.00,1.05
29,3,88522.89,93313.11,96811.75,100469.99,105995.59,90000.00,6811.75,0.00,1.08
30,4,130956.08,139115.09,145039.42,151324.47,160863.80,132000.00,13039.42,0.00,1.10
31,5,180528.55,192863.53,202053.62,211641.41,226440.71,180000.00,22053.62,0.00,1.12
32,6,231497.00,248957.48,262049.52,275854.17,297209.74,228000.00,34049.52,0.00,1.15
33,7,283889.98,307485.97,325173.00,343814.16,373302.54,276000.00,49173.00,0.00,1.18
34,8,337963.22,368543.33,391524.30,416075.45,455207.37,324000.00,67524.30,0.00,1.21
35,9,394148.92,432149.50,461276.43,492568.45,542014.02,372000.00,89276.43,0.00,1.24
36,10,452076.45,499293.35,534796.64,573329.04,634394.91,420000.00,114796.64,0.00,1.27
37,11,513151.41,569249.90,611968.01,658698.68,734074.23,468000.00,143968.01,0.00,1.31
38,12,575626.70,642458.75,693374.25,748948.01,839531.81,516000.00,177374.25,0.00,1.34
39,13,640813.92,718424.06,778551.96,845107.00,952128.65,564000.00,214551.96,0.00,1.38
40,14,707982.81,798430.58,868682.67,946497.10,1071748.71,612000.00,256682.67,0.00,1.42
41,15,778423.88,882030.88,963632.22,1053722.02,1200876.16,660000.00,303632.22,0.00,1.46
42,16,852303.06,970342.30,1063647.56,1167240.69,1337833.18,708000.00,355647.56,0.00,1.50
43,17,928821.72,1062537.34,1168265.27,1286953.04,1483238.60,756000.00,412265.27,0.00,1.55
44,18,1008195.69,1158573.81,1278317.50,1413210.72,1637041.22,804000.00,474317.50,0.00,1.59
45,19,1089071.36,1259941.39,1394983.63,1546063.15,1801297.65,852000.00,542983.63,0.00,1.64
46,20,1175231.82,1366111.80,1516887.48,1687641.89,1975642.63,900000.00,616887.48,0.00,1.69
47,21,1264440.81,1476814.28,1646050.89,1837612.60,2160197.78,948000.00,698050.89,0.00,1.74
48,22,1358681.45,1593397.34,1781859.32,1995671.23,2359899.05,996000.00,785859.32,0.00,1.79
49,23,1457428.04,1716358.20,1926099.30,2162666.63,2568103.02,1044000.00,882099.30,0.00,1.84
50,24,1558784.04,1844231.69,2075663.65,2340563.03,2789532.00,1092000.00,983663.65,0.00,1.90
51,25,1666557.36,1979098.78,2233955.17,2527851.17,3030577.28,1140000.00,1093955.17,0.00,1.96
52,26,1776260.40,2119729.00,2399595.09,2725734.81,3281837.34,1188000.00,1211595.09,0.00,2.02
53,27,1895101.75,2266873.95,2574573.40,2931436.95,3548224.54,1236000.00,1338573.40,0.00,2.08
54,28,2013851.96,2421715.01,2758801.76,3152035.92,3830944.43,1284000.00,1474801.76,0.00,2.15
55,29,2140481.59,2582066.06,2951803.40,3385434.10,4132656.23,1332000.00,1619803.40,0.00,2.22
56,30,2268716.60,2750754.36,3158029.26,3629289.09,4452343.16,1380000.00,1778029.26,0.00,2.29
57,31,2407225.71,2930062.29,3369361.34,3890140.93,4791187.88,1428000.00,1941361.34,0.00,2.36
58,32,2547664.11,3117855.03,3596116.10,4161704.22,5156447.67,1476000.00,2120116.10,0.00,2.44
59,33,2692438.45,3311021.55,3830881.66,4450503.68,5532878.47,1524000.00,2306881.66,0.00,2.51
60,34,2846703.24,3514893.32,4082562.50,4756753.28,5940107.03,1572000.00,2510562.50,0.01,2.60
