age,years,p5,p25,p50,p75,p95,total_in,gain_p50,hit_10m_pct,portfolio_ratio
26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
27,1,23455.85,24260.41,24837.73,25425.08,26287.83,24000.00,837.73,0.00,1.03
28,2,53279.18,55720.22,57474.51,59306.70,62021.57,54000.00,3474.51,0.00,1.06
29,3,89996.26,94886.69,98455.60,102187.21,107825.72,90000.00,8455.60,0.00,1.09
30,4,133790.79,142166.80,148247.76,154703.84,164508.10,132000.00,16247.76,0.00,1.12
31,5,185329.56,198081.32,207579.42,217487.84,232809.22,180000.00,27579.42,0.00,1.15
32,6,238914.43,257095.51,270734.22,285094.10,307327.53,228000.00,42734.22,0.00,1.19
33,7,294708.80,319395.31,337921.28,357482.78,388419.27,276000.00,61921.28,0.00,1.22
34,8,352914.17,385170.09,409396.62,435348.97,476730.00,324000.00,85396.62,0.00,1.26
35,9,414138.05,454460.67,485437.80,518726.15,571380.74,372000.00,113437.80,0.00,1.30
36,10,477842.79,528412.15,566494.08,607780.24,673428.60,420000.00,146494.08,0.00,1.35
37,11,545951.32,606468.50,652570.86,703152.38,784427.37,468000.00,184570.86,0.00,1.39
38,12,616253.32,689047.04,744414.30,805013.11,903813.30,516000.00,228414.30,0.00,1.44
39,13,690743.16,775753.51,841704.27,914884.95,1032242.70,564000.00,277704.27,0.00,1.49
40,14,768301.28,868046.62,945814.68,1031995.14,1171170.23,612000.00,333814.68,0.00,1.55
41,15,850478.11,965633.64,1056620.89,1157377.11,1321741.72,660000.00,396620.89,0.00,1.60
42,16,937260.64,1069986.31,1174874.97,1291487.18,1483645.31,708000.00,466874.97,0.00,1.66
43,17,1028910.50,1180213.05,1300059.28,1434945.44,1658378.88,756000.00,544059.28,0.00,1.72
44,18,1124893.99,1296319.78,1433138.23,1587798.68,1844674.55,804000.00,629138.23,0.00,1.78
45,19,1223561.59,1419853.77,1575815.67,1750508.02,2045711.57,852000.00,723815.67,0.00,1.85
46,20,1330154.29,1551163.13,1726778.94,1925867.87,2261999.91,900000.00,826778.94,0.00,1.92
47,21,1441339.88,1690130.35,1888772.45,2113620.05,2493633.00,948000.00,940772.45,0.00,1.99
48,22,1560083.26,1837601.53,2060591.64,2313915.89,2746298.72,996000.00,1064591.64,0.00,2.07
49,23,1686913.24,1994387.94,2245454.04,2528420.77,3015275.39,1044000.00,1201454.04,0.00,2.15
50,24,1817187.88,2160331.59,2439066.15,2758929.48,3302415.12,1092000.00,1347066.15,0.00,2.23
51,25,1958442.71,2337476.53,2646663.48,3005328.50,3618985.13,1140000.00,1506663.48,0.00,2.32
52,26,2103916.23,2523530.62,2867114.80,3267132.48,3952972.28,1188000.00,1679114.80,0.00,2.41
53,27,2262202.14,2721416.00,3101653.60,3544076.96,4309655.53,1236000.00,1865653.60,0.00,2.51
54,28,2423510.77,2930146.44,3351352.03,3844478.76,4698569.79,1284000.00,2067352.03,0.00,2.61
55,29,2596647.33,3150914.25,3616904.27,4165021.90,5113932.16,1332000.00,2284904.27,0.00,2.72
56,30,2773551.20,3386293.39,3903194.04,4504411.86,5555797.51,1380000.00,2523194.04,0.00,2.83
57,31,2967157.96,3637246.92,4201715.28,4872241.75,6035789.14,1428000.00,2773715.28,0.01,2.94
58,32,3168038.14,3903764.04,4522594.72,5258727.74,6559139.21,1476000.00,3046594.72,0.03,3.06
59,33,3377298.11,4180621.84,4861414.18,5675841.31,7101519.94,1524000.00,3337414.18,0.10,3.19
60,34,3602052.50,4478231.82,5226915.33,6123429.43,7695769.37,1572000.00,3654915.33,0.30,3.33
