age,years,p5,p25,p50,p75,p95,total_in,gain_p50,hit_10m_pct,portfolio_ratio
26,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
27,1,23129.52,23921.99,24490.83,25069.57,25919.16,24000.00,490.83,0.00,1.02
28,2,51937.20,54305.84,56008.84,57786.55,60424.06,54000.00,2008.84,0.00,1.04
29,3,86762.95,91439.19,94853.98,98427.85,103818.35,90000.00,4853.98,0.00,1.05
30,4,127604.17,135512.52,141247.52,147333.47,156555.57,132000.00,9247.52,0.00,1.07
31,5,174893.28,186759.00,195586.85,204795.57,218992.26,180000.00,15586.85,0.00,1.09
32,6,222840.02,239488.76,251976.80,265142.14,285492.24,228000.00,23976.80,0.00,1.11
33,7,271423.43,293747.57,310441.81,328068.26,355929.46,276000.00,34441.81,0.00,1.12
34,8,320899.34,349546.38,371023.25,394058.90,430680.95,324000.00,47023.25,0.00,1.15
35,9,371523.49,406870.75,433904.68,462892.25,508715.61,372000.00,61904.68,0.00,1.17
36,10,422937.92,466500.65,499184.18,534556.76,590764.64,420000.00,79184.18,0.00,1.19
37,11,476585.91,527789.11,566705.49,609273.50,677738.01,468000.00,98705.49,0.00,1.21
38,12,530550.34,591008.50,636974.68,687200.58,768616.81,516000.00,120974.68,0.00,1.23
39,13,586222.08,655694.74,709529.75,768851.57,864499.61,564000.00,145529.75,0.00,1.26
40,14,642564.41,722869.86,785070.40,853971.32,964463.42,612000.00,173070.40,0.00,1.28
41,15,701001.36,792020.63,863829.55,942611.89,1071315.23,660000.00,203829.55,0.00,1.31
42,16,761304.11,864132.76,945219.99,1035205.06,1183109.80,708000.00,237219.99,0.00,1.34
43,17,822911.41,938400.91,1029378.82,1131167.37,1299108.72,756000.00,273378.82,0.00,1.36
44,18,886195.81,1014711.94,1116606.20,1231436.98,1421480.52,804000.00,312606.20,0.00,1.39
45,19,949651.19,1093929.79,1207937.10,1335144.29,1549340.39,852000.00,355937.10,0.00,1.42
46,20,1016357.02,1175857.31,1301799.83,1443796.07,1683576.73,900000.00,401799.83,0.00,1.45
47,21,1084297.68,1260450.30,1400112.01,1558108.41,1823537.32,948000.00,452112.01,0.00,1.48
48,22,1155506.84,1347488.88,1501957.57,1676730.47,1972995.52,996000.00,505957.57,0.00,1.51
49,23,1228333.70,1438777.14,1608679.49,1799609.77,2126352.17,1044000.00,564679.49,0.00,1.54
50,24,1302313.88,1532144.34,1717660.50,1928999.53,2287187.04,1092000.00,625660.50,0.00,1.57
51,25,1380522.63,1629235.84,1830715.74,2063284.52,2459048.34,1140000.00,690715.74,0.00,1.61
52,26,1458746.29,1728687.14,1948797.88,2203673.08,2636247.13,1188000.00,760797.88,0.00,1.64
53,27,1541177.48,1831936.68,2070296.40,2346765.19,2822581.16,1236000.00,834296.40,0.00,1.67
54,28,1623334.51,1938351.08,2197544.33,2498423.72,3017055.55,1284000.00,913544.33,0.00,1.71
55,29,1710257.48,2046937.02,2328298.50,2656604.54,3222166.84,1332000.00,996298.50,0.00,1.75
56,30,1797187.41,2161313.00,2466480.84,2819763.98,3434263.93,1380000.00,1086480.84,0.00,1.79
57,31,1886766.78,2279380.31,2605760.18,2991827.21,3654652.72,1428000.00,1177760.18,0.00,1.82
58,32,1979360.05,2400819.27,2753501.25,3167383.39,3892427.17,1476000.00,1277501.25,0.00,1.87
59,33,2072899.32,2525195.29,2903376.72,3352202.19,4132833.77,1524000.00,1379376.72,0.00,1.91
60,34,2170734.19,2654792.78,3062289.29,3545435.11,4390775.93,1572000.00,1490289.29,0.00,1.95
